Latitude,Longitude,Elevation
41.75674000,-74.1361500,136.0
41.75545000,-74.1379400,148.0
41.75541000,-74.1379900,148.0
41.75537000,-74.1380500,149.0
41.75532000,-74.1381000,149.0
41.75527000,-74.1381500,149.0
41.75527000,-74.1381800,149.0
41.75420000,-74.1394500,149.0
41.75416000,-74.1395000,150.0
41.75412000,-74.1395400,150.0
41.75409000,-74.1395800,150.0
41.75404000,-74.1396100,150.0
41.75399000,-74.1396500,149.0
41.75395000,-74.1396900,149.0
41.75391000,-74.1397100,149.0
41.75386000,-74.1397300,148.0
41.75382000,-74.1397700,149.0
41.75377000,-74.1398100,149.0
41.75372000,-74.1398600,149.0
41.75368000,-74.1399000,149.0
41.75363000,-74.1399700,149.0
41.75359000,-74.1400300,150.0
41.75353000,-74.1401100,151.0
41.75349000,-74.1401700,152.0
41.75345000,-74.1402200,152.0
41.75342000,-74.1402600,152.0
41.75338000,-74.1402900,153.0
41.75334000,-74.1403300,153.0
41.75328000,-74.1403900,155.0
41.75320000,-74.1404500,156.0
41.75317000,-74.1405000,157.0
41.75286000,-74.1407700,159.0
41.75278000,-74.1408600,160.0
41.75268000,-74.1410300,162.0
41.75263000,-74.1410900,163.0
41.75261000,-74.1411400,164.0
41.75257000,-74.1411700,164.0
41.75253000,-74.1412100,164.0
41.75249000,-74.1412400,165.0
41.75244000,-74.1412700,164.0
41.75239000,-74.1413100,164.0
41.75233000,-74.1413400,164.0
41.75228000,-74.1413700,163.0
41.75223000,-74.1414100,163.0
41.75219000,-74.1414300,163.0
41.75214000,-74.1414500,163.0
41.75210000,-74.1414800,163.0
41.75203000,-74.1415400,164.0
41.75198000,-74.1415900,165.0
41.75193000,-74.1416500,166.0
41.75188000,-74.1417100,167.0
41.75184000,-74.1417600,167.0
41.75179000,-74.1418000,168.0
41.75174000,-74.1418400,168.0
41.75171000,-74.1418800,168.0
41.75167000,-74.1419200,169.0
41.75164000,-74.1419700,169.0
41.75159000,-74.1420400,169.0
41.75154000,-74.1421400,169.0
41.75152000,-74.1421800,169.0
41.75147000,-74.1422500,169.0
41.75143000,-74.1423100,169.0
41.75139000,-74.1423800,169.0
41.75136000,-74.1424500,169.0
41.75133000,-74.1425300,169.0
41.75130000,-74.1425700,169.0
41.75127000,-74.1426200,169.0
41.75124000,-74.1427000,170.0
41.75120000,-74.1427600,170.0
41.75116000,-74.1428300,169.0
41.75114000,-74.1428800,169.0
41.75111000,-74.1429300,169.0
41.75108000,-74.1429800,169.0
41.75104000,-74.1430200,168.0
41.75100000,-74.1430800,168.0
41.75095000,-74.1431500,167.0
41.75092000,-74.1431900,167.0
41.75091000,-74.1432100,167.0
41.75074000,-74.1434100,165.0
41.75071000,-74.1434600,165.0
41.75069000,-74.1435200,166.0
41.75066000,-74.1435800,166.0
41.75064000,-74.1436600,167.0
41.75061000,-74.1437200,168.0
41.75059000,-74.1437900,169.0
41.75057000,-74.1438500,171.0
41.75057000,-74.1439100,172.0
41.75057000,-74.1439700,172.0
41.75059000,-74.1440300,173.0
41.75064000,-74.1440600,173.0
41.75070000,-74.1440900,174.0
41.75075000,-74.1441200,174.0
41.75080000,-74.1441300,174.0
41.75087000,-74.1441400,174.0
41.75093000,-74.1441600,174.0
41.75098000,-74.1441800,174.0
41.75103000,-74.1441900,174.0
41.75107000,-74.1442000,174.0
