Latitude,Longitude,Elevation
47.96997000,-123.495230,1591.0
47.97006000,-123.495030,1594.0
47.97010000,-123.494990,1595.0
47.97013000,-123.494930,1595.0
47.97015000,-123.494870,1596.0
47.97016000,-123.494780,1596.0
47.97017000,-123.494710,1597.0
47.97018000,-123.494630,1597.0
47.97019000,-123.494560,1597.0
47.97020000,-123.494500,1597.0
47.97023000,-123.494430,1598.0
47.97025000,-123.494370,1598.0
47.97028000,-123.494310,1599.0
47.97030000,-123.494250,1599.0
47.97032000,-123.494180,1599.0
47.97035000,-123.494120,1600.0
47.97038000,-123.494070,1601.0
47.97042000,-123.494040,1602.0
47.97047000,-123.494020,1603.0
47.97052000,-123.493990,1604.0
47.97053000,-123.493990,1605.0
47.97065000,-123.493980,1606.0
47.97069000,-123.493930,1607.0
47.97072000,-123.493890,1607.0
47.97076000,-123.493840,1608.0
47.97078000,-123.493770,1608.0
47.97081000,-123.493710,1608.0
47.97085000,-123.493660,1608.0
47.97089000,-123.493660,1608.0
47.97094000,-123.493670,1608.0
47.97099000,-123.493680,1608.0
47.97104000,-123.493670,1609.0
47.97107000,-123.493610,1609.0
47.97108000,-123.493540,1610.0
47.97111000,-123.493480,1610.0
47.97115000,-123.493440,1611.0
47.97118000,-123.493400,1611.0
47.97123000,-123.493400,1612.0
47.97124000,-123.493400,1612.0
47.97138000,-123.493340,1613.0
47.97143000,-123.493320,1614.0
47.97142000,-123.493250,1615.0
47.97138000,-123.493210,1616.0
47.97135000,-123.493160,1616.0
47.97132000,-123.493100,1617.0
47.97136000,-123.493070,1618.0
47.97141000,-123.493060,1618.0
47.97145000,-123.493030,1619.0
47.97144000,-123.492960,1621.0
47.97143000,-123.492890,1622.0
47.97142000,-123.492820,1624.0
47.97145000,-123.492770,1625.0
47.97150000,-123.492740,1626.0
47.97155000,-123.492730,1626.0
47.97160000,-123.492720,1627.0
47.97165000,-123.492720,1627.0
47.97170000,-123.492710,1627.0
47.97176000,-123.492710,1627.0
47.97180000,-123.492680,1627.0
47.97184000,-123.492650,1628.0
47.97189000,-123.492630,1628.0
47.97193000,-123.492600,1629.0
47.97197000,-123.492560,1630.0
47.97200000,-123.492510,1631.0
47.97204000,-123.492470,1631.0
47.97207000,-123.492430,1632.0
47.97220000,-123.492220,1636.0
47.97224000,-123.492180,1636.0
47.97228000,-123.492130,1636.0
47.97233000,-123.492060,1636.0
47.97240000,-123.491990,1637.0
47.97244000,-123.491940,1637.0
47.97247000,-123.491890,1637.0
47.97252000,-123.491830,1637.0
47.97256000,-123.491780,1636.0
47.97260000,-123.491700,1636.0
47.97263000,-123.491650,1635.0
47.97267000,-123.491600,1634.0
47.97272000,-123.491550,1634.0
47.97276000,-123.491520,1633.0
47.97280000,-123.491470,1633.0
47.97284000,-123.491430,1632.0
47.97289000,-123.491400,1632.0
47.97293000,-123.491360,1632.0
47.97297000,-123.491320,1631.0
47.97301000,-123.491280,1630.0
47.97304000,-123.491240,1630.0
47.97311000,-123.491170,1630.0
47.97316000,-123.491120,1630.0
47.97320000,-123.491080,1629.0
47.97324000,-123.491040,1629.0
47.97325000,-123.491030,1629.0
47.97339000,-123.490860,1628.0
47.97343000,-123.490810,1628.0
47.97347000,-123.490750,1627.0
47.97350000,-123.490690,1626.0
47.97354000,-123.490640,1626.0
47.97360000,-123.490570,1625.0
47.97367000,-123.490480,1625.0
47.97371000,-123.490420,1624.0
47.97377000,-123.490350,1624.0
47.97381000,-123.490290,1623.0
47.97384000,-123.490240,1623.0
47.97387000,-123.490170,1622.0
47.97390000,-123.490120,1621.0
47.97393000,-123.490060,1620.0
47.97396000,-123.490010,1620.0
47.97399000,-123.489950,1619.0
47.97403000,-123.489900,1618.0
47.97407000,-123.489850,1619.0
47.97411000,-123.489800,1618.0
47.97414000,-123.489750,1618.0
47.97418000,-123.489660,1617.0
47.97423000,-123.489610,1616.0
47.97426000,-123.489550,1615.0
47.97429000,-123.489490,1614.0
47.97431000,-123.489460,1613.0
47.97440000,-123.489210,1608.0
47.97442000,-123.489160,1607.0
47.97446000,-123.489100,1606.0
47.97451000,-123.489040,1603.0
47.97455000,-123.488990,1601.0
47.97463000,-123.488890,1598.0
47.97466000,-123.488840,1597.0
47.97471000,-123.488710,1596.0
47.97475000,-123.488610,1595.0
47.97479000,-123.488510,1594.0
47.97483000,-123.488430,1594.0
47.97487000,-123.488350,1593.0
47.97490000,-123.488270,1593.0
47.97496000,-123.488130,1594.0
47.97497000,-123.488070,1595.0
47.97498000,-123.487980,1595.0
47.97501000,-123.487840,1594.0
47.97502000,-123.487820,1594.0
47.97505000,-123.487540,1595.0
47.97507000,-123.487460,1595.0
47.97510000,-123.487400,1595.0
47.97512000,-123.487320,1595.0
47.97514000,-123.487250,1595.0
47.97516000,-123.487190,1596.0
47.97519000,-123.487110,1596.0
47.97520000,-123.487030,1596.0
47.97522000,-123.486970,1597.0
47.97525000,-123.486900,1597.0
47.97529000,-123.486840,1598.0
47.97533000,-123.486770,1596.0
47.97536000,-123.486710,1596.0
47.97538000,-123.486640,1596.0
47.97540000,-123.486570,1596.0
47.97542000,-123.486510,1596.0
47.97543000,-123.486430,1597.0
47.97545000,-123.486350,1597.0
47.97552000,-123.486110,1600.0
47.97553000,-123.486020,1601.0
47.97556000,-123.485950,1602.0
47.97560000,-123.485880,1602.0
47.97563000,-123.485820,1603.0
47.97566000,-123.485770,1603.0
47.97568000,-123.485710,1604.0
47.97572000,-123.485650,1605.0
47.97575000,-123.485590,1607.0
47.97578000,-123.485530,1608.0
47.97580000,-123.485470,1608.0
47.97582000,-123.485390,1610.0
47.97583000,-123.485310,1611.0
47.97584000,-123.485240,1612.0
47.97586000,-123.485160,1611.0
47.97586000,-123.485090,1612.0
47.97587000,-123.485020,1612.0
47.97590000,-123.484930,1612.0
47.97593000,-123.484870,1611.0
47.97595000,-123.484830,1611.0
47.97605000,-123.484690,1610.0
47.97609000,-123.484640,1611.0
47.97612000,-123.484580,1612.0
47.97614000,-123.484530,1612.0
47.97617000,-123.484460,1613.0
47.97619000,-123.484400,1614.0
47.97621000,-123.484330,1614.0
47.97623000,-123.484260,1615.0
47.97625000,-123.484190,1616.0
47.97627000,-123.484120,1617.0
47.97629000,-123.484060,1618.0
47.97631000,-123.483990,1619.0
47.97632000,-123.483910,1621.0
47.97633000,-123.483840,1623.0
47.97633000,-123.483770,1625.0
47.97633000,-123.483700,1627.0
47.97632000,-123.483630,1629.0
47.97631000,-123.483550,1630.0
47.97630000,-123.483480,1630.0
47.97628000,-123.483400,1630.0
47.97628000,-123.483330,1631.0
47.97628000,-123.483250,1631.0
47.97628000,-123.483170,1632.0
47.97628000,-123.483100,1632.0
47.97629000,-123.483020,1632.0
47.97630000,-123.482940,1631.0
47.97632000,-123.482870,1631.0
47.97634000,-123.482810,1631.0
47.97638000,-123.482780,1631.0
47.97643000,-123.482760,1631.0
47.97648000,-123.482730,1629.0
47.97665000,-123.482720,1627.0
47.97670000,-123.482700,1626.0
47.97675000,-123.482690,1625.0
47.97680000,-123.482690,1624.0
47.97685000,-123.482690,1623.0
47.97691000,-123.482700,1622.0
47.97696000,-123.482710,1621.0
47.97700000,-123.482720,1621.0
47.97705000,-123.482720,1621.0
47.97710000,-123.482710,1621.0
47.97715000,-123.482690,1621.0
47.97719000,-123.482650,1621.0
47.97723000,-123.482610,1621.0
47.97726000,-123.482560,1622.0
47.97731000,-123.482540,1622.0
47.97736000,-123.482530,1623.0
47.97740000,-123.482500,1624.0
47.97744000,-123.482470,1625.0
47.97747000,-123.482410,1625.0
47.97751000,-123.482380,1626.0
47.97765000,-123.482330,1628.0
47.97770000,-123.482300,1630.0
47.97774000,-123.482260,1631.0
47.97778000,-123.482240,1632.0
47.97783000,-123.482220,1633.0
47.97787000,-123.482180,1634.0
47.97790000,-123.482120,1634.0
47.97793000,-123.482070,1635.0
47.97797000,-123.482020,1636.0
47.97801000,-123.481990,1637.0
47.97805000,-123.481970,1638.0
47.97810000,-123.481940,1638.0
47.97814000,-123.481910,1637.0
47.97819000,-123.481880,1637.0
47.97823000,-123.481850,1637.0
47.97828000,-123.481840,1636.0
47.97830000,-123.481840,1636.0
47.97842000,-123.481810,1636.0
47.97847000,-123.481780,1637.0
47.97852000,-123.481750,1637.0
47.97857000,-123.481720,1638.0
47.97861000,-123.481700,1638.0
47.97866000,-123.481680,1639.0
47.97871000,-123.481660,1640.0
47.97877000,-123.481630,1641.0
47.97882000,-123.481620,1642.0
47.97887000,-123.481600,1642.0
47.97892000,-123.481580,1644.0
47.97898000,-123.481570,1645.0
47.97903000,-123.481550,1646.0
47.97907000,-123.481520,1647.0
47.97912000,-123.481490,1649.0
47.97916000,-123.481460,1650.0
47.97920000,-123.481420,1651.0
47.97925000,-123.481390,1652.0
47.97929000,-123.481380,1653.0
47.97934000,-123.481370,1654.0
47.97946000,-123.481220,1658.0
47.97950000,-123.481170,1659.0
47.97954000,-123.481130,1660.0
47.97960000,-123.481080,1661.0
47.97964000,-123.481030,1661.0
47.97968000,-123.481000,1662.0
47.97971000,-123.480960,1663.0
47.97975000,-123.480900,1663.0
47.97978000,-123.480850,1662.0
47.97982000,-123.480800,1662.0
47.97985000,-123.480760,1661.0
47.97988000,-123.480690,1661.0
47.97989000,-123.480620,1662.0
47.97991000,-123.480560,1663.0
47.97995000,-123.480510,1664.0
47.97996000,-123.480490,1664.0
47.98008000,-123.480340,1664.0
47.98012000,-123.480290,1664.0
47.98015000,-123.480240,1664.0
47.98019000,-123.480180,1665.0
47.98022000,-123.480130,1666.0
47.98025000,-123.480070,1667.0
47.98028000,-123.480020,1668.0
47.98032000,-123.479970,1668.0
47.98035000,-123.479920,1668.0
47.98039000,-123.479870,1668.0
47.98042000,-123.479810,1669.0
47.98046000,-123.479760,1669.0
47.98048000,-123.479690,1670.0
47.98049000,-123.479610,1670.0
47.98049000,-123.479540,1670.0
47.98049000,-123.479470,1670.0
47.98050000,-123.479390,1670.0
47.98052000,-123.479320,1669.0
47.98055000,-123.479260,1670.0
47.98057000,-123.479200,1669.0
47.98065000,-123.478990,1665.0
47.98067000,-123.478930,1664.0
47.98068000,-123.478870,1663.0
47.98071000,-123.478810,1662.0
47.98074000,-123.478750,1661.0
47.98078000,-123.478670,1659.0
47.98080000,-123.478610,1657.0
47.98083000,-123.478560,1656.0
47.98088000,-123.478550,1654.0
47.98091000,-123.478610,1655.0
47.98093000,-123.478670,1655.0
47.98095000,-123.478750,1656.0
47.98098000,-123.478810,1656.0
47.98102000,-123.478870,1656.0
47.98105000,-123.478930,1655.0
47.98109000,-123.478990,1654.0
47.98111000,-123.479000,1653.0
47.98126000,-123.479100,1643.0
47.98130000,-123.479130,1640.0
47.98134000,-123.479170,1638.0
47.98138000,-123.479200,1635.0
47.98143000,-123.479220,1632.0
47.98142000,-123.479150,1633.0
47.98140000,-123.479070,1635.0
47.98140000,-123.478990,1636.0
47.98139000,-123.478920,1638.0
47.98143000,-123.478890,1636.0
47.98148000,-123.478900,1633.0
47.98153000,-123.478900,1630.0
47.98151000,-123.478830,1631.0
47.98149000,-123.478760,1632.0
47.98153000,-123.478730,1630.0
47.98158000,-123.478750,1627.0
47.98157000,-123.478680,1627.0
47.98156000,-123.478600,1627.0
47.98153000,-123.478530,1627.0
47.98151000,-123.478440,1625.0
47.98149000,-123.478370,1624.0
47.98146000,-123.478310,1624.0
47.98143000,-123.478260,1623.0
47.98140000,-123.478200,1622.0
47.98139000,-123.478130,1620.0
47.98144000,-123.478130,1618.0
47.98149000,-123.478150,1618.0
47.98154000,-123.478200,1618.0
47.98159000,-123.478250,1617.0
47.98164000,-123.478280,1616.0
47.98170000,-123.478300,1615.0
47.98176000,-123.478320,1614.0
47.98180000,-123.478320,1613.0
47.98188000,-123.478330,1612.0
47.98192000,-123.478330,1611.0
47.98185000,-123.478180,1609.0
47.98183000,-123.478130,1609.0
47.98180000,-123.478060,1608.0
47.98179000,-123.478000,1606.0
47.98177000,-123.477930,1605.0
47.98177000,-123.477850,1603.0
47.98178000,-123.477780,1602.0
47.98180000,-123.477720,1600.0
47.98184000,-123.477660,1599.0
47.98186000,-123.477610,1597.0
47.98189000,-123.477550,1596.0
47.98194000,-123.477500,1595.0
47.98198000,-123.477470,1594.0
47.98202000,-123.477420,1593.0
47.98209000,-123.477360,1592.0
47.98213000,-123.477310,1592.0
47.98216000,-123.477260,1591.0
47.98219000,-123.477210,1590.0
47.98224000,-123.477170,1590.0
47.98228000,-123.477120,1590.0
47.98232000,-123.477040,1589.0
47.98235000,-123.476970,1589.0
47.98238000,-123.476900,1588.0
47.98240000,-123.476810,1587.0
47.98241000,-123.476720,1586.0
47.98243000,-123.476650,1585.0
47.98244000,-123.476610,1584.0
47.98251000,-123.476330,1581.0
47.98251000,-123.476250,1579.0
47.98252000,-123.476160,1577.0
47.98253000,-123.476060,1575.0
47.98253000,-123.475980,1573.0
47.98255000,-123.475910,1571.0
47.98258000,-123.475800,1569.0
47.98261000,-123.475690,1567.0
47.98263000,-123.475570,1565.0
47.98265000,-123.475490,1563.0
47.98265000,-123.475410,1562.0
47.98265000,-123.475320,1561.0
47.98265000,-123.475240,1560.0
47.98259000,-123.475110,1559.0
47.98264000,-123.475030,1559.0
47.98267000,-123.474970,1559.0
47.98269000,-123.474920,1559.0
47.98272000,-123.474860,1559.0
47.98275000,-123.474790,1559.0
47.98277000,-123.474730,1559.0
47.98280000,-123.474670,1559.0
47.98282000,-123.474610,1560.0
47.98287000,-123.474520,1560.0
47.98290000,-123.474440,1561.0
47.98292000,-123.474350,1562.0
47.98296000,-123.474240,1564.0
47.98299000,-123.474150,1566.0
47.98301000,-123.474050,1568.0
47.98302000,-123.473980,1568.0
47.98304000,-123.473910,1570.0
47.98305000,-123.473860,1570.0
47.98310000,-123.473590,1572.0
47.98314000,-123.473430,1573.0
47.98320000,-123.473280,1575.0
47.98325000,-123.473170,1577.0
47.98328000,-123.473080,1578.0
47.98330000,-123.472990,1579.0
47.98332000,-123.472910,1578.0
47.98335000,-123.472820,1579.0
47.98341000,-123.472710,1582.0
47.98346000,-123.472580,1584.0
47.98350000,-123.472500,1586.0
47.98354000,-123.472410,1587.0
47.98356000,-123.472380,1588.0
47.98367000,-123.472250,1591.0
47.98374000,-123.472170,1592.0
47.98381000,-123.472090,1592.0
47.98389000,-123.471980,1592.0
47.98395000,-123.471900,1593.0
47.98400000,-123.471830,1593.0
47.98404000,-123.471770,1593.0
47.98407000,-123.471700,1592.0
47.98410000,-123.471650,1592.0
47.98414000,-123.471590,1591.0
47.98419000,-123.471540,1591.0
47.98424000,-123.471490,1590.0
47.98430000,-123.471450,1591.0
47.98440000,-123.471370,1592.0
47.98445000,-123.471320,1591.0
47.98459000,-123.471260,1591.0
47.98465000,-123.471210,1590.0
47.98474000,-123.471150,1589.0
47.98480000,-123.471090,1587.0
47.98483000,-123.471030,1585.0
47.98488000,-123.470980,1584.0
47.98493000,-123.470900,1582.0
47.98498000,-123.470820,1580.0
47.98501000,-123.470760,1579.0
47.98505000,-123.470670,1578.0
47.98511000,-123.470580,1578.0
47.98516000,-123.470510,1578.0
47.98521000,-123.470440,1577.0
47.98526000,-123.470400,1577.0
47.98534000,-123.470360,1579.0
47.98544000,-123.470340,1581.0
47.98558000,-123.470250,1581.0
47.98565000,-123.470230,1580.0
47.98572000,-123.470210,1579.0
47.98576000,-123.470200,1579.0
47.98581000,-123.470190,1579.0
47.98586000,-123.470180,1578.0
47.98588000,-123.470180,1578.0
47.98602000,-123.470150,1579.0
47.98609000,-123.470180,1580.0
47.98617000,-123.470210,1579.0
47.98622000,-123.470230,1579.0
47.98628000,-123.470250,1578.0
47.98633000,-123.470260,1577.0
47.98639000,-123.470260,1576.0
47.98647000,-123.470230,1575.0
47.98655000,-123.470210,1573.0
47.98660000,-123.470210,1572.0
47.98667000,-123.470210,1571.0
47.98679000,-123.470210,1569.0
47.98688000,-123.470200,1568.0
47.98721000,-123.470180,1567.0
47.98734000,-123.470230,1571.0
47.98743000,-123.470280,1574.0
47.98755000,-123.470310,1575.0
47.98763000,-123.470320,1575.0
47.98771000,-123.470340,1575.0
47.98779000,-123.470370,1574.0
47.98785000,-123.470400,1574.0
47.98789000,-123.470410,1574.0
47.98793000,-123.470420,1575.0
47.98809000,-123.470480,1575.0
47.98819000,-123.470490,1576.0
47.98830000,-123.470510,1576.0
47.98838000,-123.470520,1578.0
47.98847000,-123.470520,1580.0
47.98854000,-123.470510,1581.0
47.98860000,-123.470510,1583.0
47.98865000,-123.470510,1584.0
47.98870000,-123.470510,1586.0
47.98876000,-123.470510,1588.0
47.98881000,-123.470510,1590.0
47.98890000,-123.470520,1592.0
47.98891000,-123.470520,1593.0
47.98905000,-123.470590,1595.0
47.98910000,-123.470590,1596.0
47.98915000,-123.470520,1597.0
47.98916000,-123.470450,1597.0
47.98921000,-123.470410,1598.0
47.98927000,-123.470420,1600.0
47.98932000,-123.470430,1600.0
47.98937000,-123.470420,1601.0
47.98942000,-123.470350,1603.0
47.98944000,-123.470280,1603.0
47.98945000,-123.470220,1605.0
47.98948000,-123.470130,1608.0
47.98953000,-123.470070,1612.0
47.98955000,-123.469990,1614.0
47.98957000,-123.469890,1616.0
47.98959000,-123.469810,1618.0
47.98962000,-123.469710,1620.0
47.98965000,-123.469640,1622.0
47.98967000,-123.469580,1623.0
47.98970000,-123.469510,1624.0
47.98973000,-123.469440,1626.0
47.98977000,-123.469390,1628.0
47.98980000,-123.469330,1629.0
47.98981000,-123.469240,1629.0
47.98982000,-123.469140,1629.0
47.98985000,-123.469010,1630.0
47.98986000,-123.468970,1630.0
47.98998000,-123.468960,1636.0
47.99005000,-123.468930,1640.0
47.99009000,-123.468900,1641.0
47.99012000,-123.468830,1642.0
47.99015000,-123.468780,1642.0
47.99019000,-123.468720,1644.0
47.99023000,-123.468690,1645.0
47.99028000,-123.468680,1647.0
47.99033000,-123.468700,1650.0
47.99038000,-123.468700,1653.0
47.99043000,-123.468670,1655.0
47.99046000,-123.468620,1656.0
47.99050000,-123.468570,1657.0
47.99054000,-123.468530,1658.0
47.99058000,-123.468520,1660.0
47.99063000,-123.468510,1662.0
47.99068000,-123.468510,1664.0
47.99072000,-123.468500,1666.0
47.99077000,-123.468490,1668.0
47.99089000,-123.468430,1671.0
47.99096000,-123.468430,1674.0
47.99102000,-123.468460,1676.0
47.99106000,-123.468510,1678.0
47.99110000,-123.468550,1680.0
47.99114000,-123.468580,1683.0
47.99119000,-123.468610,1686.0
47.99121000,-123.468670,1688.0
47.99121000,-123.468750,1689.0
47.99119000,-123.468810,1689.0
47.99117000,-123.468880,1689.0
47.99119000,-123.468940,1691.0
47.99124000,-123.468920,1693.0
47.99131000,-123.468860,1696.0
47.99136000,-123.468830,1698.0
47.99140000,-123.468810,1700.0
47.99147000,-123.468800,1703.0
47.99152000,-123.468810,1706.0
47.99155000,-123.468860,1708.0
47.99160000,-123.468880,1710.0
47.99165000,-123.468880,1713.0
47.99170000,-123.468860,1715.0
