region,beer_per_capita,wine_per_capita,spirits_per_capita
Albania,1.45,1.14,1.85
Austria,6.25,4.37,1.7
Belarus,3.01,0.37,5.97
Belgium,6.21,4.53,1.8
Bosnia and Herzegovina,3.2,0.15,0.54
Bulgaria,4.31,2.87,4.78
Croatia,4.23,6.25,1.31
Cyprus,3.3,2.48,3.25
Czech Republic,6.93,2.6,3.16
Denmark,3.61,4.35,1.6
Estonia,5.87,1.65,5.64
Finland,4.22,1.67,1.94
France,2.3,6.4,2.5
Germany,5.86,3.1,2.07
Greece,2.07,3.92,1.48
Hungary,3.79,3.35,3.75
Iceland,4.59,2.03,0.72
Ireland,5.13,2.8,1.97
Italy,1.73,4.97,0.86
Kosovo,,,
Latvia,4.67,1.1,4
Lithuania,5.46,1.5,5.97
Luxembourg,4.08,4.75,2.28
Malta,2.88,3.25,1.99
Moldova,1.92,4.9,2.94
Montenegro,,3.18,2.54
Netherlands,4.2,2.97,1.52
North Macedonia,0.59,0.26,0.29
Norway,2.57,2.22,1.03
Poland,6.45,0.86,3.4
Portugal,2.67,5.99,0.8
Romania,5.11,3.07,1.41
Russia,4.19,1.12,4.57
Serbia,2.61,4.16,2.11
Slovakia,3.3,2.36,4.36
Slovenia,4.36,5.31,0.8
Spain,4.4,2.07,2.69
Sweden,2.7,3.6,1
Switzerland,3.16,4.57,1.76
Turkey,0.83,0.13,0.48
UK,3.49,4.17,2.27
Ukraine,2.94,0.72,4.22
