iso,region,umd_tree_cover_loss__year,umd_tree_cover_loss__ha,gfw_gross_emissions_co2e_all_gases__Mg,area_ha_total,percentage_adjusted
AFG,Afghanistan,2001,88.09271247,22268.90538,65286000,0.000134934
AFG,Afghanistan,2002,178.6403638,50016.93763,65286000,0.000273627
AFG,Afghanistan,2003,244.3362552,72753.9796,65286000,0.000374255
AFG,Afghanistan,2004,201.4449585,55078.33929,65286000,0.000308558
AFG,Afghanistan,2005,235.9568343,68037.96326,65286000,0.00036142
AFG,Afghanistan,2006,152.0845359,42909.04962,65286000,0.000232951
AFG,Afghanistan,2007,252.841662,71755.04714,65286000,0.000387283
AFG,Afghanistan,2008,107.4062482,30988.08927,65286000,0.000164517
AFG,Afghanistan,2009,70.40549692,20855.91415,65286000,0.000107842
AFG,Afghanistan,2010,87.72845281,24770.47164,65286000,0.000134376
AFG,Afghanistan,2011,112.9550622,35341.76786,65286000,0.000173016
AFG,Afghanistan,2012,39.30761566,12369.99259,65286000,6.02083E-05
AFG,Afghanistan,2013,1.451841225,379.3402186,65286000,2.22382E-06
AFG,Afghanistan,2014,2.719290471,786.5801853,65286000,4.1652E-06
AFG,Afghanistan,2018,25.70584525,7441.489996,65286000,3.93742E-05
AFG,Afghanistan,2019,17.11506676,5444.982699,65286000,2.62155E-05
AFG,Afghanistan,2020,36.58230789,13105.98244,65286000,5.60339E-05
ALB,Albania,2001,3729.021031,1333222.676,2740000,0.136095658
ALB,Albania,2002,889.5171155,337161.5685,2740000,0.032464128
ALB,Albania,2003,613.533965,192631.0004,2740000,0.022391751
ALB,Albania,2004,3236.59554,1270904.661,2740000,0.118123925
ALB,Albania,2005,694.575351,262834.3639,2740000,0.025349465
ALB,Albania,2006,962.7062924,397925.3075,2740000,0.035135266
ALB,Albania,2007,5225.026688,1489566.337,2740000,0.190694405
ALB,Albania,2008,5471.318404,1772382.669,2740000,0.199683153
ALB,Albania,2009,1337.340292,545780.6332,2740000,0.04880804
ALB,Albania,2010,655.7933438,265102.0168,2740000,0.023934064
ALB,Albania,2011,1188.248196,380639.3454,2740000,0.043366722
ALB,Albania,2012,5395.648853,2048537.747,2740000,0.196921491
ALB,Albania,2013,2570.310922,943940.6027,2740000,0.093806968
ALB,Albania,2014,1051.881716,468774.8707,2740000,0.038389844
ALB,Albania,2015,283.5747371,116080.5937,2740000,0.010349443
ALB,Albania,2016,928.4496223,351807.3193,2740000,0.033885023
ALB,Albania,2017,1689.025033,547582.992,2740000,0.061643249
ALB,Albania,2018,2048.769228,782165.6146,2740000,0.0747726
ALB,Albania,2019,1074.144611,448610.2843,2740000,0.039202358
ALB,Albania,2020,1117.787389,506810.7882,2740000,0.04079516
DZA,Algeria,2001,3468.760252,869336.7558,238174100,0.001456397
