# Title: October 2023 - September 2024 Contiguous U.S. County Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
# Note: Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
AL-001,Autauga County,Alabama,65.7,1.8,119,63.9
AL-003,Baldwin County,Alabama,68.4,1.6,117,66.8
AL-005,Barbour County,Alabama,66.1,1.3,113,64.8
AL-007,Bibb County,Alabama,64.2,1.5,116,62.8
AL-009,Blount County,Alabama,63,2.3,122,60.6
AL-011,Bullock County,Alabama,65.4,1.3,110,64.1
AL-013,Butler County,Alabama,66.1,1.5,117,64.6
AL-015,Calhoun County,Alabama,63.1,2.1,123,61
AL-017,Chambers County,Alabama,63.2,1.6,117,61.6
AL-019,Cherokee County,Alabama,62.3,1.7,119,60.6
AL-021,Chilton County,Alabama,64.4,1.7,118,62.7
AL-023,Choctaw County,Alabama,66.7,2.2,124,64.5
AL-025,Clarke County,Alabama,66.5,1.7,115,64.9
AL-027,Clay County,Alabama,62.4,1.6,117,60.7
AL-029,Cleburne County,Alabama,62.1,2.2,122,59.9
AL-031,Coffee County,Alabama,66.6,1.2,110,65.4
AL-033,Colbert County,Alabama,62.7,2.7,128,59.9
AL-035,Conecuh County,Alabama,66.5,1.1,103,65.4
AL-037,Coosa County,Alabama,63.7,1.4,114,62.3
AL-039,Covington County,Alabama,66.8,1.2,115,65.6
AL-041,Crenshaw County,Alabama,65.8,1.4,116,64.4
AL-043,Cullman County,Alabama,62.7,2.4,123,60.3
AL-045,Dale County,Alabama,66.8,1.1,107,65.7
AL-047,Dallas County,Alabama,66.4,2.1,124,64.3
AL-049,DeKalb County,Alabama,60.9,1.6,119,59.3
AL-051,Elmore County,Alabama,65,1.3,112,63.8
AL-053,Escambia County,Alabama,66.9,0.9,98,66
AL-055,Etowah County,Alabama,63,2.2,123,60.9
AL-057,Fayette County,Alabama,63.1,1.1,101,62
AL-059,Franklin County,Alabama,62.3,2.4,124,59.9
AL-061,Geneva County,Alabama,67.1,1.1,105,66.1
AL-063,Greene County,Alabama,65.5,1.7,121,63.9
AL-065,Hale County,Alabama,65.3,1.6,121,63.7
AL-067,Henry County,Alabama,66.9,1.2,110,65.7
AL-069,Houston County,Alabama,67.5,1,106,66.5
AL-071,Jackson County,Alabama,61.3,1.9,122,59.4
AL-073,Jefferson County,Alabama,63.9,2,117,61.8
AL-075,Lamar County,Alabama,63.8,1.7,118,62.1
AL-077,Lauderdale County,Alabama,62.2,2.7,126,59.5
AL-079,Lawrence County,Alabama,62.3,2.2,124,60.1
AL-081,Lee County,Alabama,64.5,1.5,118,63
AL-083,Limestone County,Alabama,62.3,2.4,125,59.9
AL-085,Lowndes County,Alabama,66.2,1.6,116,64.6
AL-087,Macon County,Alabama,65.4,1.3,114,64
AL-089,Madison County,Alabama,62.3,2.4,123,59.9
AL-091,Marengo County,Alabama,66.4,2.1,126,64.3
AL-093,Marion County,Alabama,62.5,1.8,121,60.8
AL-095,Marshall County,Alabama,62.7,2.3,124,60.3
AL-097,Mobile County,Alabama,68.7,2.3,124,66.4
AL-099,Monroe County,Alabama,66.5,1.4,112,65.1
AL-101,Montgomery County,Alabama,65.6,1.1,107,64.5
AL-103,Morgan County,Alabama,62.7,2.5,125,60.2
AL-105,Perry County,Alabama,65.4,1.8,123,63.6
AL-107,Pickens County,Alabama,64.8,1.7,119,63.1
AL-109,Pike County,Alabama,65.9,1.2,111,64.7
AL-111,Randolph County,Alabama,62.6,2.1,123,60.5
AL-113,Russell County,Alabama,65.5,1.3,114,64.2
AL-115,St. Clair County,Alabama,63.2,2.1,121,61.2
AL-117,Shelby County,Alabama,63.8,1.8,116,62
AL-119,Sumter County,Alabama,66.1,2.1,125,64
AL-121,Talladega County,Alabama,63.4,1.6,116,61.8
AL-123,Tallapoosa County,Alabama,63.5,1.3,115,62.2
AL-125,Tuscaloosa County,Alabama,64.2,1.1,104,63.1
AL-127,Walker County,Alabama,63.1,1.5,116,61.6
AL-129,Washington County,Alabama,67.1,1.7,120,65.4
AL-131,Wilcox County,Alabama,66.6,1.8,123,64.7
AL-133,Winston County,Alabama,62.2,2,123,60.2
AZ-001,Apache County,Arizona,52.2,2.4,124,49.8
AZ-003,Cochise County,Arizona,62.9,2.6,125,60.4
AZ-005,Coconino County,Arizona,55,3.3,127,51.8
AZ-007,Gila County,Arizona,61.1,2.6,121,58.5
AZ-009,Graham County,Arizona,62.9,2.7,126,60.2
AZ-011,Greenlee County,Arizona,58.1,2.4,120,55.8
AZ-012,La Paz County,Arizona,73.8,3.5,127,70.3
AZ-013,Maricopa County,Arizona,72.3,3.1,125,69.2
AZ-015,Mohave County,Arizona,64.5,3.1,124,61.4
AZ-017,Navajo County,Arizona,53.8,2.6,123,51.2
AZ-019,Pima County,Arizona,69.3,2.7,124,66.5
AZ-021,Pinal County,Arizona,70.7,3,125,67.7
AZ-023,Santa Cruz County,Arizona,62.6,2.7,125,59.9
AZ-025,Yavapai County,Arizona,61.4,3.2,123,58.2
AZ-027,Yuma County,Arizona,74.2,3.3,123,70.9
AR-001,Arkansas County,Arkansas,64.6,2.4,124,62.1
AR-003,Ashley County,Arkansas,65.6,2.4,125,63.2
AR-005,Baxter County,Arkansas,60,2.8,128,57.1
AR-007,Benton County,Arkansas,60.5,3.2,128,57.3
AR-009,Boone County,Arkansas,59.5,2.7,126,56.8
AR-011,Bradley County,Arkansas,65.1,2.4,125,62.7
AR-013,Calhoun County,Arkansas,64.5,1.8,120,62.7
AR-015,Carroll County,Arkansas,59.7,2.7,126,56.9
AR-017,Chicot County,Arkansas,65.6,2.1,123,63.5
AR-019,Clark County,Arkansas,63.6,1.4,113,62.1
AR-021,Clay County,Arkansas,61.7,3,127,58.7
AR-023,Cleburne County,Arkansas,61.7,2.9,127,58.9
AR-025,Cleveland County,Arkansas,64.3,2,123,62.3
AR-027,Columbia County,Arkansas,64.7,1.4,111,63.4
AR-029,Conway County,Arkansas,62.3,2.1,123,60.2
AR-031,Craighead County,Arkansas,62.2,2.8,125,59.5
AR-033,Crawford County,Arkansas,62.5,3.2,128,59.3
AR-035,Crittenden County,Arkansas,63.8,2.5,124,61.3
AR-037,Cross County,Arkansas,62.7,1.9,120,60.8
