Date of analysis,Country,Total country population,Validity period,From,To,Phase,Number,Percentage
#date+analysis,#country+code,#population,#period+v_ipc,#date+start,#date+end,#severity+v_ipc,#affected+num,#affected+pct
Mar 2024,AFG,44532600,current,2024-03-01,2024-04-30,all,44532600,1.0
Mar 2024,AFG,44532600,current,2024-03-01,2024-04-30,3+,14208000,0.32
Mar 2024,AFG,44532600,current,2024-03-01,2024-04-30,1,14114122,0.32
Mar 2024,AFG,44532600,current,2024-03-01,2024-04-30,2,16210478,0.36
Mar 2024,AFG,44532600,current,2024-03-01,2024-04-30,3,11287840,0.25
Mar 2024,AFG,44532600,current,2024-03-01,2024-04-30,4,2920160,0.07
Mar 2024,AFG,44532600,current,2024-03-01,2024-04-30,5,0,0
Mar 2024,AFG,44532600,first projection,2024-05-01,2024-10-31,all,44532600,1.0
Mar 2024,AFG,44532600,first projection,2024-05-01,2024-10-31,3+,12369627,0.28
Mar 2024,AFG,44532600,first projection,2024-05-01,2024-10-31,1,14857610,0.33
Mar 2024,AFG,44532600,first projection,2024-05-01,2024-10-31,2,17305363,0.39
Mar 2024,AFG,44532600,first projection,2024-05-01,2024-10-31,3,10000354,0.23
Mar 2024,AFG,44532600,first projection,2024-05-01,2024-10-31,4,2369273,0.05
Mar 2024,AFG,44532600,first projection,2024-05-01,2024-10-31,5,0,0
Jun 2021,AGO,32097671,current,2021-06-01,2021-09-30,all,2667790,1.0
Jun 2021,AGO,32097671,current,2021-06-01,2021-09-30,3+,1315532,0.49
Jun 2021,AGO,32097671,current,2021-06-01,2021-09-30,1,531260,0.2
Jun 2021,AGO,32097671,current,2021-06-01,2021-09-30,2,820998,0.31
Jun 2021,AGO,32097671,current,2021-06-01,2021-09-30,3,1008245,0.38
Jun 2021,AGO,32097671,current,2021-06-01,2021-09-30,4,307288,0.12
Jun 2021,AGO,32097671,current,2021-06-01,2021-09-30,5,0,0
Jun 2021,AGO,32097671,first projection,2021-10-01,2022-03-31,all,2750124,1.0
Jun 2021,AGO,32097671,first projection,2021-10-01,2022-03-31,3+,1583996,0.58
Jun 2021,AGO,32097671,first projection,2021-10-01,2022-03-31,1,482825,0.18
Jun 2021,AGO,32097671,first projection,2021-10-01,2022-03-31,2,683303,0.25
Jun 2021,AGO,32097671,first projection,2021-10-01,2022-03-31,3,1167337,0.42
Jun 2021,AGO,32097671,first projection,2021-10-01,2022-03-31,4,416660,0.15
Jun 2021,AGO,32097671,first projection,2021-10-01,2022-03-31,5,0,0
May 2024,BDI,12288863,current,2024-05-01,2024-05-31,all,12288863,1.0
May 2024,BDI,12288863,current,2024-05-01,2024-05-31,3+,2192906,0.18
May 2024,BDI,12288863,current,2024-05-01,2024-05-31,1,5048937,0.41
May 2024,BDI,12288863,current,2024-05-01,2024-05-31,2,5047021,0.41
May 2024,BDI,12288863,current,2024-05-01,2024-05-31,3,1964269,0.16
May 2024,BDI,12288863,current,2024-05-01,2024-05-31,4,228637,0.02
May 2024,BDI,12288863,current,2024-05-01,2024-05-31,5,0,0
May 2024,BDI,12288863,first projection,2024-06-01,2024-09-30,all,12288863,1.0
May 2024,BDI,12288863,first projection,2024-06-01,2024-09-30,3+,1184921,0.1
May 2024,BDI,12288863,first projection,2024-06-01,2024-09-30,1,6283783,0.51
May 2024,BDI,12288863,first projection,2024-06-01,2024-09-30,2,4820159,0.39
May 2024,BDI,12288863,first projection,2024-06-01,2024-09-30,3,1063250,0.09
May 2024,BDI,12288863,first projection,2024-06-01,2024-09-30,4,121671,0.01
May 2024,BDI,12288863,first projection,2024-06-01,2024-09-30,5,0,0
Mar 2024,BEN,12910087,current,2024-03-01,2024-05-31,all,5681269,1.0
Mar 2024,BEN,12910087,current,2024-03-01,2024-05-31,3+,363718,0.06
Mar 2024,BEN,12910087,current,2024-03-01,2024-05-31,1,4249293,0.75
Mar 2024,BEN,12910087,current,2024-03-01,2024-05-31,2,1068258,0.19
Mar 2024,BEN,12910087,current,2024-03-01,2024-05-31,3,363718,0.06
Mar 2024,BEN,12910087,current,2024-03-01,2024-05-31,4,0,0
Mar 2024,BEN,12910087,current,2024-03-01,2024-05-31,5,0,0
Mar 2024,BEN,12910087,first projection,2024-06-01,2024-08-31,all,10058780,1.0
Mar 2024,BEN,12910087,first projection,2024-06-01,2024-08-31,3+,309443,0.03
Mar 2024,BEN,12910087,first projection,2024-06-01,2024-08-31,1,8442194,0.84
Mar 2024,BEN,12910087,first projection,2024-06-01,2024-08-31,2,1307143,0.13
Mar 2024,BEN,12910087,first projection,2024-06-01,2024-08-31,3,309443,0.03
Mar 2024,BEN,12910087,first projection,2024-06-01,2024-08-31,4,0,0
Mar 2024,BEN,12910087,first projection,2024-06-01,2024-08-31,5,0,0
Mar 2024,BFA,22969083,current,2024-03-01,2024-05-31,all,22969083,1.0
Mar 2024,BFA,22969083,current,2024-03-01,2024-05-31,3+,1749437,0.07
Mar 2024,BFA,22969083,current,2024-03-01,2024-05-31,1,17064478,0.74
Mar 2024,BFA,22969083,current,2024-03-01,2024-05-31,2,4155168,0.18
Mar 2024,BFA,22969083,current,2024-03-01,2024-05-31,3,1673313,0.07
Mar 2024,BFA,22969083,current,2024-03-01,2024-05-31,4,76124,0
Mar 2024,BFA,22969083,current,2024-03-01,2024-05-31,5,0,0
Mar 2024,BFA,22969083,first projection,2024-06-01,2024-08-31,all,22969083,1.0
Mar 2024,BFA,22969083,first projection,2024-06-01,2024-08-31,3+,2734196,0.12
Mar 2024,BFA,22969083,first projection,2024-06-01,2024-08-31,1,14992187,0.65
Mar 2024,BFA,22969083,first projection,2024-06-01,2024-08-31,2,5242700,0.23
Mar 2024,BFA,22969083,first projection,2024-06-01,2024-08-31,3,2310858,0.1
Mar 2024,BFA,22969083,first projection,2024-06-01,2024-08-31,4,423338,0.02
Mar 2024,BFA,22969083,first projection,2024-06-01,2024-08-31,5,0,0
Feb 2024,BGD,165158616,current,2024-02-01,2024-03-31,all,74209497,1.0
Feb 2024,BGD,165158616,current,2024-02-01,2024-03-31,3+,14581885,0.2
Feb 2024,BGD,165158616,current,2024-02-01,2024-03-31,1,31742270,0.42
Feb 2024,BGD,165158616,current,2024-02-01,2024-03-31,2,27885342,0.38
Feb 2024,BGD,165158616,current,2024-02-01,2024-03-31,3,14254138,0.19
Feb 2024,BGD,165158616,current,2024-02-01,2024-03-31,4,327747,0.01
Feb 2024,BGD,165158616,current,2024-02-01,2024-03-31,5,0,0
Feb 2024,BGD,165158616,first projection,2024-04-01,2024-10-31,all,74283840,1.0
Feb 2024,BGD,165158616,first projection,2024-04-01,2024-10-31,3+,16530681,0.22
Feb 2024,BGD,165158616,first projection,2024-04-01,2024-10-31,1,29251031,0.39
Feb 2024,BGD,165158616,first projection,2024-04-01,2024-10-31,2,28502128,0.38
Feb 2024,BGD,165158616,first projection,2024-04-01,2024-10-31,3,15745272,0.21
Feb 2024,BGD,165158616,first projection,2024-04-01,2024-10-31,4,785409,0.01
Feb 2024,BGD,165158616,first projection,2024-04-01,2024-10-31,5,0,0
Sep 2023,CAF,6128671,current,2023-09-01,2024-03-31,all,6128671,1.0
Sep 2023,CAF,6128671,current,2023-09-01,2024-03-31,3+,2019858,0.33
Sep 2023,CAF,6128671,current,2023-09-01,2024-03-31,1,1603687,0.26
Sep 2023,CAF,6128671,current,2023-09-01,2024-03-31,2,2505127,0.41
Sep 2023,CAF,6128671,current,2023-09-01,2024-03-31,3,1669168,0.27
Sep 2023,CAF,6128671,current,2023-09-01,2024-03-31,4,350690,0.06
Sep 2023,CAF,6128671,current,2023-09-01,2024-03-31,5,0,0
Sep 2023,CAF,6128671,first projection,2024-04-01,2024-08-31,all,6128671,1.0
Sep 2023,CAF,6128671,first projection,2024-04-01,2024-08-31,3+,2516926,0.41
Sep 2023,CAF,6128671,first projection,2024-04-01,2024-08-31,1,1261221,0.21
Sep 2023,CAF,6128671,first projection,2024-04-01,2024-08-31,2,2350523,0.38
Sep 2023,CAF,6128671,first projection,2024-04-01,2024-08-31,3,1996258,0.33
Sep 2023,CAF,6128671,first projection,2024-04-01,2024-08-31,4,520668,0.08
Sep 2023,CAF,6128671,first projection,2024-04-01,2024-08-31,5,0,0
Mar 2024,CIV,31089121,current,2024-03-01,2024-05-31,all,23943267,1.0
Mar 2024,CIV,31089121,current,2024-03-01,2024-05-31,3+,900575,0.04
Mar 2024,CIV,31089121,current,2024-03-01,2024-05-31,1,19186269,0.8
Mar 2024,CIV,31089121,current,2024-03-01,2024-05-31,2,3856423,0.16
Mar 2024,CIV,31089121,current,2024-03-01,2024-05-31,3,900575,0.04
Mar 2024,CIV,31089121,current,2024-03-01,2024-05-31,4,0,0
Mar 2024,CIV,31089121,current,2024-03-01,2024-05-31,5,0,0
Mar 2024,CIV,31089121,first projection,2024-06-01,2024-08-31,all,23943267,1.0
Mar 2024,CIV,31089121,first projection,2024-06-01,2024-08-31,3+,922490,0.04
Mar 2024,CIV,31089121,first projection,2024-06-01,2024-08-31,1,19197795,0.8
Mar 2024,CIV,31089121,first projection,2024-06-01,2024-08-31,2,3822982,0.16
Mar 2024,CIV,31089121,first projection,2024-06-01,2024-08-31,3,922490,0.04
Mar 2024,CIV,31089121,first projection,2024-06-01,2024-08-31,4,0,0
Mar 2024,CIV,31089121,first projection,2024-06-01,2024-08-31,5,0,0
Mar 2024,CMR,27816297,current,2024-03-01,2024-05-31,all,27816297,1.0
Mar 2024,CMR,27816297,current,2024-03-01,2024-05-31,3+,2796436,0.1
Mar 2024,CMR,27816297,current,2024-03-01,2024-05-31,1,19382007,0.7
Mar 2024,CMR,27816297,current,2024-03-01,2024-05-31,2,5637855,0.2
Mar 2024,CMR,27816297,current,2024-03-01,2024-05-31,3,2711674,0.1
Mar 2024,CMR,27816297,current,2024-03-01,2024-05-31,4,84762,0
Mar 2024,CMR,27816297,current,2024-03-01,2024-05-31,5,0,0
Mar 2024,CMR,27816297,first projection,2024-06-01,2024-08-31,all,27816297,1.0
Mar 2024,CMR,27816297,first projection,2024-06-01,2024-08-31,3+,2465493,0.08
Mar 2024,CMR,27816297,first projection,2024-06-01,2024-08-31,1,20233786,0.73
Mar 2024,CMR,27816297,first projection,2024-06-01,2024-08-31,2,5117018,0.18
Mar 2024,CMR,27816297,first projection,2024-06-01,2024-08-31,3,2352165,0.08
Mar 2024,CMR,27816297,first projection,2024-06-01,2024-08-31,4,113328,0
