Latitude,Longitude,Elevation
40.88330000,-75.7605200,183.0
40.88333000,-75.7605100,183.0
40.88334000,-75.7605500,183.0
40.88334000,-75.7605800,182.0
40.88345000,-75.7607200,181.0
40.88352000,-75.7607600,181.0
40.88371000,-75.7608700,182.0
40.88383000,-75.7605500,186.0
40.88386000,-75.7604800,187.0
40.88397000,-75.7604000,190.0
40.88413000,-75.7605000,192.0
40.88432000,-75.7606300,196.0
40.88432000,-75.7604100,198.0
40.88442000,-75.7602500,202.0
40.88472000,-75.7601000,210.0
40.88481000,-75.7600200,213.0
40.88503000,-75.7597100,220.0
40.88517000,-75.7594200,223.0
40.88533000,-75.7592300,225.0
40.88599000,-75.7591000,240.0
40.88610000,-75.7590500,241.0
40.88621000,-75.7589900,243.0
40.88651000,-75.7590200,249.0
40.88667000,-75.7590400,252.0
40.88669000,-75.7591700,255.0
40.88674000,-75.7594200,259.0
40.88681000,-75.7596900,263.0
40.88683000,-75.7597300,264.0
40.88709000,-75.7601600,276.0
40.88717000,-75.7603800,281.0
40.88719000,-75.7605100,284.0
40.88718000,-75.7607200,287.0
40.88713000,-75.7613100,301.0
40.88708000,-75.7614600,304.0
40.88708000,-75.7617300,315.0
40.88747000,-75.7619800,335.0
40.88787000,-75.7619300,345.0
40.88845000,-75.7619800,373.0
40.88925000,-75.7619300,397.0
40.88979000,-75.7619400,416.0
40.89001000,-75.7619000,419.0
40.89046000,-75.7618000,427.0
40.89060000,-75.7618700,434.0
40.89067000,-75.7619100,436.0
40.89085000,-75.7618400,437.0
40.89097000,-75.7617700,437.0
40.89113000,-75.7616200,434.0
40.89123000,-75.7615600,432.0
40.89138000,-75.7615300,432.0
40.89171000,-75.7615200,435.0
40.89183000,-75.7615000,436.0
40.89193000,-75.7614700,436.0
40.89202000,-75.7613700,437.0
40.89216000,-75.7611900,439.0
40.89219000,-75.7611400,439.0
40.89225000,-75.7611100,440.0
40.89233000,-75.7611000,440.0
40.89250000,-75.7611400,442.0
40.89260000,-75.7611500,443.0
40.89279000,-75.7610900,445.0
40.89296000,-75.7609800,445.0
40.89322000,-75.7608600,446.0
40.89358000,-75.7604800,449.0
40.89368000,-75.7604000,450.0
40.89385000,-75.7603700,451.0
40.89396000,-75.7603900,453.0
40.89406000,-75.7603800,454.0
40.89423000,-75.7602400,454.0
40.89429000,-75.7602100,455.0
40.89467000,-75.7601700,458.0
40.89479000,-75.7601300,459.0
40.89490000,-75.7600300,460.0
40.89510000,-75.7599400,461.0
40.89530000,-75.7598900,463.0
40.89550000,-75.7598000,463.0
40.89557000,-75.7598100,464.0
40.89576000,-75.7599500,467.0
40.89588000,-75.7599400,468.0
40.89595000,-75.7599100,469.0
40.89616000,-75.7597300,472.0
40.89635000,-75.7596600,473.0
40.89655000,-75.7595200,475.0
40.89683000,-75.7593800,474.0
40.89688000,-75.7593300,474.0
40.89700000,-75.7591800,472.0
40.89709000,-75.7591100,471.0
40.89729000,-75.7590600,470.0
40.89741000,-75.7589800,470.0
40.89773000,-75.7586300,466.0
40.89799000,-75.7582600,461.0
40.89818000,-75.7581000,462.0
40.89837000,-75.7582500,464.0
40.89852000,-75.7585400,464.0
40.89858000,-75.7586400,463.0
40.89869000,-75.7588300,463.0
40.89892000,-75.7590100,461.0
40.89915000,-75.7591200,461.0
40.89929000,-75.7593000,462.0
40.89932000,-75.7595500,463.0
40.89923000,-75.7597200,464.0
40.89904000,-75.7597400,464.0
40.89860000,-75.7598300,464.0
40.89824000,-75.7601300,465.0
40.89781000,-75.7604000,466.0
40.89772000,-75.7605400,467.0
40.89770000,-75.7607200,467.0
40.89775000,-75.7610100,467.0
40.89775000,-75.7612400,466.0
40.89770000,-75.7615100,465.0
40.89758000,-75.7617300,466.0
40.89749000,-75.7619500,467.0
40.89745000,-75.7622600,467.0
40.89735000,-75.7625100,466.0
40.89734000,-75.7627000,465.0
40.89734000,-75.7629000,464.0
40.89725000,-75.7630100,464.0
40.89674000,-75.7632500,463.0
40.89642000,-75.7634200,462.0
40.89626000,-75.7633700,461.0
40.89593000,-75.7631300,460.0
40.89554000,-75.7628700,460.0
40.89534000,-75.7627600,461.0
40.89501000,-75.7626900,461.0
40.89482000,-75.7628100,460.0
40.89481000,-75.7630900,460.0
40.89481000,-75.7634400,459.0
40.89477000,-75.7636400,458.0
40.89478000,-75.7636400,458.0
40.89476000,-75.7637400,457.0
40.89467000,-75.7640600,455.0
40.89446000,-75.7642500,451.0
40.89420000,-75.7644200,450.0
40.89388000,-75.7645600,447.0
40.89366000,-75.7647800,444.0
40.89340000,-75.7651000,442.0
40.89322000,-75.7652600,442.0
40.89308000,-75.7654500,440.0
40.89296000,-75.7654900,439.0
40.89263000,-75.7654400,436.0
40.89232000,-75.7653700,436.0
40.89210000,-75.7654900,436.0
40.89198000,-75.7657000,437.0
40.89181000,-75.7661200,435.0
