Latitude,Longitude,Elevation
47.50682000,-123.231800,811.0
47.50676000,-123.231940,813.0
47.50673000,-123.231990,814.0
47.50669000,-123.232050,815.0
47.50665000,-123.232100,818.0
47.50662000,-123.232150,821.0
47.50658000,-123.232180,824.0
47.50655000,-123.232120,827.0
47.50658000,-123.232060,824.0
47.50660000,-123.232010,822.0
47.50655000,-123.232010,826.0
47.50651000,-123.232060,830.0
47.50647000,-123.232110,834.0
47.50643000,-123.232120,837.0
47.50638000,-123.232090,842.0
47.50638000,-123.232010,841.0
47.50640000,-123.231940,839.0
47.50640000,-123.231860,838.0
47.50635000,-123.231830,840.0
47.50632000,-123.231890,843.0
47.50628000,-123.231940,847.0
47.50625000,-123.231990,849.0
47.50621000,-123.232050,852.0
47.50616000,-123.232090,856.0
47.50612000,-123.232130,859.0
47.50608000,-123.232180,861.0
47.50604000,-123.232220,864.0
47.50599000,-123.232250,866.0
47.50595000,-123.232240,868.0
47.50594000,-123.232170,867.0
47.50594000,-123.232100,866.0
47.50591000,-123.232050,866.0
47.50587000,-123.232020,867.0
47.50582000,-123.232010,868.0
47.50578000,-123.232030,870.0
47.50574000,-123.232040,871.0
47.50564000,-123.232090,875.0
47.50559000,-123.232100,876.0
47.50555000,-123.232080,877.0
47.50551000,-123.232050,876.0
47.50546000,-123.232030,876.0
47.50541000,-123.232050,876.0
47.50533000,-123.232070,877.0
47.50529000,-123.232120,878.0
47.50526000,-123.232170,879.0
47.50523000,-123.232230,881.0
47.50520000,-123.232290,883.0
47.50516000,-123.232350,884.0
47.50512000,-123.232400,886.0
47.50509000,-123.232440,887.0
47.50501000,-123.232490,888.0
47.50497000,-123.232520,889.0
47.50492000,-123.232540,890.0
47.50488000,-123.232570,891.0
47.50485000,-123.232610,892.0
47.50482000,-123.232680,893.0
47.50481000,-123.232750,895.0
47.50481000,-123.232830,897.0
47.50483000,-123.232900,899.0
47.50485000,-123.232980,902.0
47.50486000,-123.233050,904.0
47.50485000,-123.233120,906.0
47.50482000,-123.233180,907.0
47.50478000,-123.233200,908.0
47.50474000,-123.233250,909.0
47.50475000,-123.233330,911.0
47.50477000,-123.233390,912.0
47.50480000,-123.233460,913.0
47.50481000,-123.233530,914.0
47.50479000,-123.233600,916.0
47.50475000,-123.233630,916.0
47.50470000,-123.233670,917.0
47.50467000,-123.233720,916.0
47.50469000,-123.233790,918.0
47.50472000,-123.233870,920.0
47.50474000,-123.233940,920.0
47.50476000,-123.234020,919.0
47.50474000,-123.234100,919.0
47.50471000,-123.234160,919.0
47.50467000,-123.234170,918.0
47.50463000,-123.234210,916.0
47.50461000,-123.234280,915.0
47.50461000,-123.234350,915.0
47.50461000,-123.234430,914.0
47.50459000,-123.234490,914.0
47.50457000,-123.234550,913.0
47.50456000,-123.234680,913.0
47.50458000,-123.234760,915.0
47.50461000,-123.234810,917.0
47.50464000,-123.234870,920.0
47.50466000,-123.234950,924.0
47.50467000,-123.235050,926.0
47.50466000,-123.235120,927.0
47.50467000,-123.235130,928.0
47.50468000,-123.235350,932.0
47.50469000,-123.235430,934.0
47.50471000,-123.235510,936.0
47.50474000,-123.235610,938.0
47.50477000,-123.235680,938.0
47.50479000,-123.235740,938.0
47.50484000,-123.235810,939.0
47.50488000,-123.235860,940.0
47.50493000,-123.235940,941.0
47.50496000,-123.236010,942.0
47.50500000,-123.236080,943.0
47.50502000,-123.236140,944.0
47.50504000,-123.236200,944.0
47.50509000,-123.236300,945.0
47.50512000,-123.236360,946.0
47.50516000,-123.236430,947.0
47.50521000,-123.236500,949.0
47.50526000,-123.236550,951.0
47.50529000,-123.236600,952.0
47.50534000,-123.236640,954.0
47.50538000,-123.236690,955.0
47.50543000,-123.236750,957.0
47.50548000,-123.236810,959.0
47.50554000,-123.236880,961.0
47.50558000,-123.236940,961.0
47.50563000,-123.237000,961.0
47.50572000,-123.237090,962.0
47.50577000,-123.237130,963.0
47.50585000,-123.237170,964.0
47.50591000,-123.237200,964.0
47.50597000,-123.237220,965.0
47.50605000,-123.237250,966.0
47.50610000,-123.237260,966.0
47.50616000,-123.237280,966.0
47.50624000,-123.237320,966.0
47.50630000,-123.237340,966.0
47.50637000,-123.237370,966.0
47.50641000,-123.237390,965.0
47.50648000,-123.237410,963.0
47.50653000,-123.237440,961.0
47.50658000,-123.237450,959.0
47.50664000,-123.237490,958.0
47.50669000,-123.237510,956.0
47.50669000,-123.237520,956.0
47.50683000,-123.237540,948.0
47.50688000,-123.237550,945.0
47.50693000,-123.237570,942.0
47.50697000,-123.237600,941.0
47.50701000,-123.237660,941.0
47.50704000,-123.237720,941.0
47.50705000,-123.237790,943.0
47.50706000,-123.237900,945.0
47.50706000,-123.238010,948.0
47.50706000,-123.238080,950.0
47.50705000,-123.238160,952.0
47.50704000,-123.238230,955.0
47.50703000,-123.238320,958.0
47.50701000,-123.238390,961.0
47.50699000,-123.238460,964.0
47.50698000,-123.238540,967.0
47.50698000,-123.238630,970.0
47.50698000,-123.238710,971.0
47.50698000,-123.238800,973.0
47.50699000,-123.238890,974.0
47.50699000,-123.238960,976.0
47.50699000,-123.239030,977.0
47.50699000,-123.239100,979.0
47.50700000,-123.239170,979.0
47.50700000,-123.239240,979.0
47.50700000,-123.239310,979.0
47.50700000,-123.239410,978.0
47.50699000,-123.239480,978.0
47.50698000,-123.239550,977.0
47.50696000,-123.239650,977.0
47.50694000,-123.239730,977.0
47.50693000,-123.239800,977.0
47.50691000,-123.239870,978.0
47.50689000,-123.239950,979.0
47.50687000,-123.240010,980.0
47.50684000,-123.240080,982.0
47.50682000,-123.240150,983.0
47.50680000,-123.240200,985.0
47.50677000,-123.240260,987.0
47.50676000,-123.240330,989.0
47.50677000,-123.240420,990.0
47.50678000,-123.240510,992.0
47.50679000,-123.240580,992.0
47.50681000,-123.240660,992.0
47.50684000,-123.240730,991.0
47.50685000,-123.240810,992.0
47.50687000,-123.240880,991.0
47.50687000,-123.240950,993.0
47.50688000,-123.241020,993.0
47.50688000,-123.241090,995.0
47.50688000,-123.241180,995.0
47.50690000,-123.241260,994.0
47.50691000,-123.241340,994.0
47.50693000,-123.241420,993.0
47.50695000,-123.241490,993.0
47.50697000,-123.241570,993.0
47.50699000,-123.241650,992.0
47.50698000,-123.241720,993.0
47.50698000,-123.241790,993.0
47.50696000,-123.241860,994.0
47.50694000,-123.241920,996.0
47.50693000,-123.242000,996.0
47.50693000,-123.242080,997.0
47.50693000,-123.242170,997.0
47.50693000,-123.242250,998.0
47.50693000,-123.242320,998.0
47.50692000,-123.242410,999.0
47.50691000,-123.242480,1000.0
47.50690000,-123.242550,1000.0
47.50690000,-123.242620,1001.0
47.50690000,-123.242640,1001.0
47.50681000,-123.243090,998.0
47.50681000,-123.243180,1000.0
47.50680000,-123.243260,1001.0
47.50680000,-123.243330,1002.0
47.50678000,-123.243410,1003.0
47.50677000,-123.243490,1005.0
47.50674000,-123.243560,1006.0
47.50671000,-123.243640,1008.0
47.50669000,-123.243700,1008.0
47.50667000,-123.243780,1009.0
47.50665000,-123.243850,1009.0
47.50663000,-123.243950,1008.0
47.50661000,-123.244010,1008.0
47.50659000,-123.244070,1007.0
47.50656000,-123.244130,1007.0
47.50654000,-123.244220,1006.0
47.50651000,-123.244430,1005.0
47.50649000,-123.244510,1004.0
47.50649000,-123.244590,1004.0
47.50649000,-123.244710,1004.0
47.50649000,-123.244800,1005.0
47.50651000,-123.244920,1007.0
47.50651000,-123.244990,1008.0
47.50654000,-123.245150,1012.0
47.50656000,-123.245230,1014.0
47.50657000,-123.245310,1015.0
47.50658000,-123.245380,1017.0
47.50658000,-123.245460,1019.0
47.50657000,-123.245540,1021.0
47.50655000,-123.245610,1022.0
47.50653000,-123.245680,1023.0
47.50651000,-123.245740,1024.0
47.50648000,-123.245800,1025.0
47.50645000,-123.245870,1026.0
47.50643000,-123.245930,1027.0
47.50643000,-123.246010,1029.0
47.50643000,-123.246090,1031.0
47.50643000,-123.246170,1032.0
47.50644000,-123.246250,1034.0
47.50645000,-123.246320,1036.0
47.50647000,-123.246420,1037.0
47.50649000,-123.246510,1039.0
47.50651000,-123.246580,1040.0
47.50652000,-123.246680,1042.0
47.50654000,-123.246770,1042.0
47.50656000,-123.246880,1043.0
47.50657000,-123.246950,1044.0
47.50659000,-123.247010,1044.0
47.50660000,-123.247080,1045.0
47.50661000,-123.247160,1046.0
47.50661000,-123.247230,1047.0
47.50662000,-123.247330,1049.0
47.50661000,-123.247410,1050.0
47.50660000,-123.247480,1051.0
47.50658000,-123.247550,1052.0
47.50656000,-123.247610,1053.0
47.50657000,-123.247630,1053.0
47.50658000,-123.247870,1052.0
47.50660000,-123.247960,1051.0
47.50662000,-123.248020,1050.0
47.50663000,-123.248090,1049.0
47.50664000,-123.248160,1049.0
47.50664000,-123.248220,1048.0
47.50665000,-123.248300,1047.0
47.50667000,-123.248370,1047.0
47.50667000,-123.248440,1047.0
47.50668000,-123.248510,1048.0
47.50668000,-123.248590,1048.0
47.50667000,-123.248650,1049.0
