"Meddržavne selitve po državljanstvu, državah prejšnjega, prihodnjega prebivališèa in spolu, Slovenija, letno"

"SELITVE";"DRŽAVA PREJŠNJEGA OZ. PRIHODNJEGA PREBIVALIŠÈA";"2020 Državljani Republike Slovenije - SKUPAJ"
"Odseljeni v tujino";"Država prejšnjega oz. prihodnjega prebivališèa - SKUPAJ";5811
"Odseljeni v tujino";"  EVROPA";5350
"Odseljeni v tujino";"    Avstrija";1375
"Odseljeni v tujino";"    Bosna in Hercegovina";143
"Odseljeni v tujino";"    Èrna gora";15
"Odseljeni v tujino";"    Francija";87
"Odseljeni v tujino";"    Hrvaška";594
"Odseljeni v tujino";"    Italija";362
"Odseljeni v tujino";"    Kosovo";25
"Odseljeni v tujino";"    Nemèija";1078
"Odseljeni v tujino";"    Severna Makedonija";46
"Odseljeni v tujino";"    Srbija";121
"Odseljeni v tujino";"    Švedska";73
"Odseljeni v tujino";"    Švica";458
"Odseljeni v tujino";"    Druge države Evrope";973
"Odseljeni v tujino";"  AFRIKA";15
"Odseljeni v tujino";"  AZIJA";115
"Odseljeni v tujino";"  JUŽNA AMERIKA";20
"Odseljeni v tujino";"  SEVERNA IN SREDNJA AMERIKA";212
"Odseljeni v tujino";"    Kanada";60
"Odseljeni v tujino";"    Združene države";141
"Odseljeni v tujino";"    Druge države Severne in Srednje Amerike";11
"Odseljeni v tujino";"  AVSTRALIJA IN OCEANIJA";99
"Odseljeni v tujino";"  Neznano";0
