Latitude,Longitude,Elevation
41.44599000,-73.9795300,9.0
41.44595000,-73.9795200,9.0
41.44593000,-73.9794900,9.0
41.44590000,-73.9794600,9.0
41.44588000,-73.9794300,9.0
41.44585000,-73.9794100,9.0
41.44583000,-73.9793900,9.0
41.44580000,-73.9793600,10.0
41.44578000,-73.9793400,10.0
41.44574000,-73.9793100,10.0
41.44571000,-73.9792800,10.0
41.44568000,-73.9792600,10.0
41.44565000,-73.9792500,9.0
41.44562000,-73.9792300,9.0
41.44559000,-73.9792200,9.0
41.44555000,-73.9792100,9.0
41.44551000,-73.9792000,9.0
41.44545000,-73.9791900,8.0
41.44542000,-73.9791800,8.0
41.44538000,-73.9791700,8.0
41.44535000,-73.9791600,8.0
41.44532000,-73.9791400,9.0
41.44529000,-73.9791200,9.0
41.44526000,-73.9791000,9.0
41.44522000,-73.9790900,9.0
41.44518000,-73.9790700,9.0
41.44515000,-73.9790600,9.0
41.44512000,-73.9790400,10.0
41.44509000,-73.9790300,10.0
41.44506000,-73.9790200,10.0
41.44503000,-73.9790100,10.0
41.44500000,-73.9789900,10.0
41.44497000,-73.9789700,10.0
41.44494000,-73.9789600,10.0
41.44491000,-73.9789500,10.0
41.44487000,-73.9789400,9.0
41.44484000,-73.9789300,9.0
41.44481000,-73.9789200,9.0
41.44477000,-73.9789000,8.0
41.44474000,-73.9788800,8.0
41.44469000,-73.9788500,9.0
41.44466000,-73.9788200,10.0
41.44463000,-73.9788000,10.0
41.44460000,-73.9787800,11.0
41.44457000,-73.9787700,11.0
41.44454000,-73.9787600,11.0
41.44450000,-73.9787500,11.0
41.44447000,-73.9787200,12.0
41.44444000,-73.9787100,13.0
41.44441000,-73.9787000,13.0
41.44438000,-73.9786900,12.0
41.44435000,-73.9786700,13.0
41.44433000,-73.9786500,13.0
41.44430000,-73.9786200,14.0
41.44426000,-73.9786100,13.0
41.44422000,-73.9786000,13.0
41.44419000,-73.9785800,13.0
41.44413000,-73.9785600,12.0
