Latitude,Longitude,Elevation
40.63380000,-75.9875000,406.0
40.63379000,-75.9874700,406.0
40.63380000,-75.9874600,406.0
40.63380000,-75.9873300,406.0
40.63383000,-75.9872600,406.0
40.63388000,-75.9873100,406.0
40.63396000,-75.9873400,406.0
40.63414000,-75.9873400,406.0
40.63432000,-75.9872900,406.0
40.63459000,-75.9872100,406.0
40.63468000,-75.9871500,406.0
40.63491000,-75.9870100,406.0
40.63505000,-75.9868700,406.0
40.63528000,-75.9865700,408.0
40.63538000,-75.9864500,409.0
40.63565000,-75.9862000,413.0
40.63580000,-75.9858800,415.0
40.63593000,-75.9857900,416.0
40.63600000,-75.9857600,416.0
40.63609000,-75.9856700,415.0
40.63606000,-75.9854600,412.0
40.63601000,-75.9854100,411.0
40.63594000,-75.9853500,410.0
40.63586000,-75.9852900,410.0
40.63576000,-75.9852600,408.0
40.63560000,-75.9851200,405.0
40.63549000,-75.9849900,402.0
40.63539000,-75.9848300,399.0
40.63532000,-75.9846900,396.0
40.63516000,-75.9845400,394.0
40.63488000,-75.9843600,392.0
40.63476000,-75.9841900,388.0
40.63467000,-75.9840400,383.0
40.63456000,-75.9838700,379.0
40.63449000,-75.9837700,378.0
40.63443000,-75.9837200,377.0
40.63436000,-75.9836700,376.0
40.63426000,-75.9835400,374.0
40.63416000,-75.9833600,371.0
40.63410000,-75.9831900,368.0
40.63410000,-75.9830700,365.0
40.63419000,-75.9829700,363.0
40.63438000,-75.9829600,360.0
40.63440000,-75.9829700,360.0
40.63448000,-75.9829800,359.0
40.63457000,-75.9830100,359.0
40.63464000,-75.9829400,356.0
40.63473000,-75.9829200,354.0
40.63484000,-75.9829700,354.0
40.63493000,-75.9830400,355.0
40.63498000,-75.9831100,356.0
40.63504000,-75.9831500,356.0
40.63510000,-75.9831600,355.0
40.63520000,-75.9831400,353.0
40.63527000,-75.9831500,351.0
40.63531000,-75.9831600,350.0
40.63536000,-75.9831600,349.0
40.63544000,-75.9831400,346.0
40.63556000,-75.9830900,342.0
40.63561000,-75.9829600,339.0
40.63582000,-75.9829000,335.0
40.63590000,-75.9828800,334.0
40.63598000,-75.9828300,333.0
40.63605000,-75.9827800,332.0
40.63611000,-75.9826800,330.0
40.63611000,-75.9825700,329.0
40.63610000,-75.9824900,329.0
40.63609000,-75.9823900,328.0
40.63607000,-75.9823200,328.0
40.63603000,-75.9822800,327.0
40.63598000,-75.9822400,328.0
40.63593000,-75.9821500,327.0
40.63593000,-75.9820900,326.0
40.63596000,-75.9819600,324.0
40.63591000,-75.9818200,323.0
40.63584000,-75.9817800,323.0
40.63577000,-75.9817300,323.0
40.63571000,-75.9817000,323.0
40.63566000,-75.9816300,322.0
40.63567000,-75.9815700,322.0
40.63570000,-75.9815200,321.0
40.63591000,-75.9813200,318.0
40.63597000,-75.9812500,316.0
40.63606000,-75.9811800,315.0
40.63615000,-75.9810400,312.0
40.63619000,-75.9809100,310.0
40.63624000,-75.9806800,307.0
40.63626000,-75.9805200,305.0
40.63630000,-75.9804100,304.0
40.63633000,-75.9803500,303.0
40.63640000,-75.9802600,302.0
40.63649000,-75.9801900,300.0
40.63655000,-75.9801100,299.0
40.63658000,-75.9799800,296.0
40.63657000,-75.9799000,295.0
40.63656000,-75.9798400,295.0
40.63657000,-75.9797800,294.0
40.63659000,-75.9797100,293.0
40.63682000,-75.9793100,286.0
40.63687000,-75.9792200,285.0
40.63691000,-75.9791300,284.0
40.63692000,-75.9789800,283.0
40.63697000,-75.9788000,282.0
40.63716000,-75.9784700,279.0
40.63720000,-75.9784200,278.0
40.63726000,-75.9783000,277.0
40.63731000,-75.9781900,276.0
40.63735000,-75.9780700,275.0
40.63741000,-75.9779400,274.0
40.63746000,-75.9778000,272.0
40.63747000,-75.9776700,271.0
40.63747000,-75.9775200,271.0
40.63746000,-75.9774100,270.0
40.63742000,-75.9773700,270.0
40.63738000,-75.9773400,270.0
40.63733000,-75.9772700,270.0
40.63729000,-75.9772400,270.0
40.63724000,-75.9772000,270.0
40.63714000,-75.9770400,270.0
40.63710000,-75.9768300,269.0
40.63710000,-75.9767500,268.0
40.63712000,-75.9765400,266.0
40.63710000,-75.9764100,266.0
40.63710000,-75.9762400,263.0
40.63712000,-75.9761200,261.0
40.63712000,-75.9760500,260.0
40.63713000,-75.9759300,259.0
40.63715000,-75.9757600,258.0
40.63721000,-75.9755700,256.0
40.63722000,-75.9754300,256.0
40.63724000,-75.9752900,255.0
40.63725000,-75.9751800,255.0
40.63727000,-75.9750500,255.0
40.63729000,-75.9749000,254.0
40.63733000,-75.9748200,254.0
40.63738000,-75.9747700,253.0
40.63754000,-75.9744800,250.0
40.63760000,-75.9743800,249.0
40.63764000,-75.9742300,248.0
40.63775000,-75.9739100,244.0
40.63777000,-75.9737700,242.0
40.63777000,-75.9736900,241.0
40.63777000,-75.9736200,241.0
40.63776000,-75.9735500,240.0
40.63775000,-75.9735000,240.0
