Latitude,Longitude,Elevation
38.55647000,-78.3868300,1030.0
38.55632000,-78.3868100,1030.0
38.55622000,-78.3868800,1031.0
38.55620000,-78.3870400,1033.0
38.55621000,-78.3872400,1035.0
38.55616000,-78.3874400,1038.0
38.55607000,-78.3875800,1041.0
38.55606000,-78.3876100,1041.0
38.55592000,-78.3878000,1044.0
38.55577000,-78.3880200,1048.0
38.55566000,-78.3881900,1052.0
38.55556000,-78.3883500,1055.0
38.55546000,-78.3885000,1059.0
38.55535000,-78.3886800,1062.0
38.55529000,-78.3887900,1064.0
38.55522000,-78.3888100,1065.0
38.55510000,-78.3887700,1066.0
38.55503000,-78.3888000,1067.0
38.55499000,-78.3887800,1067.0
38.55487000,-78.3888200,1069.0
38.55473000,-78.3890000,1074.0
38.55462000,-78.3890800,1076.0
38.55450000,-78.3891300,1078.0
38.55444000,-78.3892100,1081.0
38.55439000,-78.3892800,1083.0
38.55436000,-78.3893400,1085.0
38.55430000,-78.3894700,1089.0
38.55418000,-78.3895100,1091.0
38.55404000,-78.3895800,1095.0
38.55405000,-78.3895900,1095.0
38.55404000,-78.3895800,1095.0
38.55401000,-78.3895900,1096.0
38.55393000,-78.3897300,1100.0
38.55385000,-78.3898700,1103.0
38.55377000,-78.3899800,1106.0
38.55379000,-78.3900700,1107.0
38.55386000,-78.3901700,1109.0
38.55391000,-78.3902600,1110.0
38.55394000,-78.3903500,1112.0
38.55394000,-78.3904600,1114.0
38.55387000,-78.3906700,1119.0
38.55385000,-78.3907500,1121.0
38.55388000,-78.3908400,1123.0
38.55402000,-78.3909600,1124.0
38.55410000,-78.3910200,1125.0
38.55411000,-78.3911000,1127.0
38.55406000,-78.3912200,1130.0
38.55391000,-78.3913900,1135.0
38.55383000,-78.3915400,1138.0
38.55379000,-78.3916900,1141.0
38.55376000,-78.3918000,1142.0
38.55374000,-78.3919300,1144.0
38.55374000,-78.3921200,1147.0
38.55379000,-78.3923700,1152.0
38.55382000,-78.3925500,1155.0
38.55385000,-78.3927900,1159.0
38.55387000,-78.3928800,1161.0
38.55395000,-78.3930400,1164.0
38.55399000,-78.3930900,1165.0
38.55399000,-78.3931800,1166.0
38.55394000,-78.3932900,1168.0
38.55372000,-78.3934400,1170.0
38.55359000,-78.3935300,1173.0
38.55350000,-78.3935800,1174.0
38.55339000,-78.3936700,1175.0
38.55336000,-78.3937400,1177.0
38.55333000,-78.3939000,1181.0
38.55335000,-78.3940500,1184.0
38.55346000,-78.3943300,1190.0
38.55348000,-78.3944200,1192.0
38.55342000,-78.3946100,1195.0
38.55340000,-78.3947400,1197.0
38.55344000,-78.3948900,1198.0
38.55351000,-78.3950000,1199.0
38.55361000,-78.3950600,1201.0
