Latitude,Longitude,Elevation
40.78125000,-75.6084600,128.0
40.78118000,-75.6087500,133.0
40.78117000,-75.6088300,135.0
40.78112000,-75.6089100,136.0
40.78110000,-75.6089900,137.0
40.78112000,-75.6091000,139.0
40.78116000,-75.6091900,141.0
40.78120000,-75.6092400,142.0
40.78125000,-75.6093000,143.0
40.78129000,-75.6094300,145.0
40.78132000,-75.6095700,148.0
40.78130000,-75.6096600,149.0
40.78123000,-75.6098800,152.0
40.78113000,-75.6099800,153.0
40.78105000,-75.6101500,156.0
40.78095000,-75.6102900,158.0
40.78091000,-75.6103800,159.0
40.78081000,-75.6106700,165.0
40.78075000,-75.6110100,174.0
40.78073000,-75.6112500,180.0
40.78083000,-75.6120500,194.0
40.78087000,-75.6122000,196.0
40.78092000,-75.6122400,197.0
40.78095000,-75.6124100,199.0
40.78106000,-75.6128600,204.0
40.78113000,-75.6130100,207.0
40.78127000,-75.6132900,213.0
40.78143000,-75.6134200,217.0
40.78148000,-75.6135000,218.0
40.78160000,-75.6140000,226.0
40.78171000,-75.6143000,231.0
40.78176000,-75.6143900,233.0
40.78185000,-75.6145100,236.0
40.78202000,-75.6148700,244.0
40.78206000,-75.6149600,246.0
40.78208000,-75.6151400,249.0
40.78209000,-75.6152400,251.0
40.78212000,-75.6153600,253.0
40.78215000,-75.6154900,256.0
40.78222000,-75.6156500,259.0
40.78227000,-75.6159300,267.0
40.78233000,-75.6160600,271.0
40.78239000,-75.6163300,276.0
40.78245000,-75.6164600,279.0
40.78265000,-75.6167700,291.0
40.78270000,-75.6169500,295.0
40.78273000,-75.6171900,299.0
40.78250000,-75.6178800,300.0
40.78251000,-75.6179700,301.0
40.78255000,-75.6180800,304.0
40.78266000,-75.6183200,312.0
40.78268000,-75.6185100,317.0
40.78266000,-75.6186500,320.0
40.78253000,-75.6190800,326.0
40.78253000,-75.6193700,329.0
40.78251000,-75.6196900,331.0
40.78236000,-75.6197400,329.0
40.78231000,-75.6198100,328.0
40.78227000,-75.6199200,328.0
40.78225000,-75.6201600,330.0
40.78227000,-75.6203400,332.0
40.78227000,-75.6205300,333.0
40.78221000,-75.6210400,336.0
40.78219000,-75.6215300,341.0
40.78216000,-75.6216500,342.0
40.78199000,-75.6220500,341.0
40.78191000,-75.6222700,342.0
40.78188000,-75.6224000,343.0
40.78188000,-75.6226900,347.0
40.78191000,-75.6229600,351.0
40.78189000,-75.6231000,353.0
40.78191000,-75.6232300,356.0
40.78193000,-75.6234100,360.0
40.78189000,-75.6239600,365.0
40.78188000,-75.6243600,372.0
40.78182000,-75.6248000,374.0
40.78162000,-75.6249700,369.0
40.78147000,-75.6252300,366.0
40.78139000,-75.6254000,365.0
40.78125000,-75.6257600,364.0
40.78119000,-75.6260600,366.0
40.78118000,-75.6263300,366.0
40.78116000,-75.6266100,366.0
40.78115000,-75.6267000,366.0
40.78110000,-75.6268500,366.0
40.78104000,-75.6270800,367.0
40.78096000,-75.6273300,368.0
40.78091000,-75.6274700,368.0
40.78093000,-75.6277900,372.0
40.78091000,-75.6279300,373.0
40.78085000,-75.6281900,374.0
40.78079000,-75.6282900,373.0
40.78068000,-75.6285300,374.0
40.78055000,-75.6287000,374.0
40.78050000,-75.6287800,374.0
40.78047000,-75.6289100,374.0
40.78042000,-75.6290300,375.0
40.78039000,-75.6291200,375.0
40.78037000,-75.6292600,376.0
40.78037000,-75.6293500,377.0
40.78043000,-75.6296500,381.0
40.78051000,-75.6298400,384.0
40.78057000,-75.6299700,386.0
40.78062000,-75.6302500,387.0
40.78064000,-75.6303500,388.0
40.78064000,-75.6304800,388.0
40.78058000,-75.6307200,388.0
40.78055000,-75.6310500,391.0
40.78052000,-75.6311300,391.0
40.78045000,-75.6314500,390.0
40.78039000,-75.6319300,392.0
40.78037000,-75.6320700,393.0
40.78037000,-75.6322000,395.0
40.78046000,-75.6326400,400.0
40.78051000,-75.6330600,405.0
40.78060000,-75.6333200,410.0
40.78064000,-75.6334500,412.0
40.78072000,-75.6337500,417.0
40.78084000,-75.6341800,424.0
40.78089000,-75.6343100,428.0
40.78095000,-75.6344800,432.0
40.78103000,-75.6348900,439.0
40.78104000,-75.6353800,443.0
40.78107000,-75.6358100,446.0
40.78103000,-75.6361600,446.0
40.78103000,-75.6362600,447.0
40.78105000,-75.6371700,450.0
40.78104000,-75.6376000,449.0
40.78102000,-75.6377200,449.0
40.78097000,-75.6378700,449.0
40.78089000,-75.6380300,448.0
40.78080000,-75.6381600,448.0
40.78064000,-75.6385900,447.0
40.78052000,-75.6388300,444.0
40.78049000,-75.6389200,444.0
40.78059000,-75.6392000,446.0
40.78063000,-75.6394300,448.0
40.78063000,-75.6400100,447.0
40.78059000,-75.6403300,448.0
40.78063000,-75.6406500,449.0
40.78064000,-75.6412800,451.0
40.78060000,-75.6424200,454.0
40.78035000,-75.6440600,451.0
40.78024000,-75.6444600,451.0
40.78019000,-75.6445300,450.0
40.78014000,-75.6445900,450.0
40.77989000,-75.6447300,448.0
40.77985000,-75.6447800,447.0
40.77984000,-75.6450000,449.0
40.77982000,-75.6453400,452.0
40.77981000,-75.6459300,456.0
40.77984000,-75.6463400,459.0
40.77987000,-75.6471400,466.0
40.77993000,-75.6478300,465.0
40.77989000,-75.6480900,466.0
40.77994000,-75.6484200,471.0
40.77994000,-75.6489500,474.0
40.77990000,-75.6492100,474.0
40.77995000,-75.6496900,476.0
40.78000000,-75.6503800,477.0
40.78002000,-75.6508000,474.0
40.77991000,-75.6510400,475.0
40.77977000,-75.6523500,477.0
40.77961000,-75.6530100,478.0
40.77932000,-75.6536700,480.0
40.77896000,-75.6548100,480.0
40.77881000,-75.6563100,481.0
40.77863000,-75.6577600,480.0
40.77844000,-75.6583000,480.0
40.77823000,-75.6591900,481.0
40.77818000,-75.6601400,485.0
40.77841000,-75.6618400,483.0
40.77843000,-75.6628300,479.0
40.77850000,-75.6634800,480.0
40.77854000,-75.6640000,476.0
40.77854000,-75.6646000,480.0
40.77846000,-75.6651300,485.0
40.77826000,-75.6657700,488.0
40.77801000,-75.6664700,490.0
40.77786000,-75.6670400,492.0
40.77758000,-75.6673400,494.0
40.77753000,-75.6680200,494.0
40.77742000,-75.6687100,495.0
40.77732000,-75.6693900,495.0
40.77725000,-75.6702600,494.0
40.77722000,-75.6709200,490.0
40.77719000,-75.6712100,489.0
40.77712000,-75.6714200,487.0
40.77703000,-75.6718200,488.0
40.77701000,-75.6721800,489.0
40.77695000,-75.6724600,490.0
40.77691000,-75.6727000,489.0
40.77682000,-75.6727900,489.0
40.77665000,-75.6728800,490.0
40.77651000,-75.6732900,492.0
40.77645000,-75.6737900,492.0
40.77642000,-75.6742300,490.0
40.77637000,-75.6746600,488.0
40.77628000,-75.6749000,488.0
40.77614000,-75.6750200,487.0
40.77599000,-75.6750600,488.0
40.77590000,-75.6750000,488.0
40.77578000,-75.6750700,488.0
40.77568000,-75.6751400,488.0
40.77560000,-75.6753300,487.0
40.77554000,-75.6756900,486.0
40.77539000,-75.6761300,484.0
40.77520000,-75.6765200,481.0
40.77510000,-75.6765800,481.0
40.77500000,-75.6766300,480.0
40.77495000,-75.6770000,480.0
40.77458000,-75.6782900,472.0
40.77423000,-75.6798000,468.0
40.77405000,-75.6803900,471.0
40.77394000,-75.6810400,474.0
40.77379000,-75.6815600,476.0
40.77369000,-75.6817600,476.0
40.77366000,-75.6818600,476.0
40.77354000,-75.6821600,479.0
40.77350000,-75.6824400,481.0
40.77350000,-75.6826100,483.0
40.77339000,-75.6832800,485.0
40.77328000,-75.6835900,486.0
40.77317000,-75.6840900,487.0
40.77298000,-75.6846500,487.0
40.77294000,-75.6848300,487.0
40.77290000,-75.6850600,487.0
40.77280000,-75.6852800,486.0
40.77274000,-75.6856100,485.0
40.77256000,-75.6863500,482.0
40.77236000,-75.6870800,475.0
40.77220000,-75.6877600,470.0
40.77208000,-75.6881600,466.0
40.77197000,-75.6887100,462.0
40.77188000,-75.6891100,457.0
40.77182000,-75.6893400,455.0
40.77171000,-75.6894500,454.0
40.77149000,-75.6897400,450.0
40.77135000,-75.6900700,447.0
40.77121000,-75.6903500,444.0
40.77090000,-75.6905600,441.0
40.77078000,-75.6910800,437.0
40.77074000,-75.6914700,433.0
40.77066000,-75.6919900,427.0
40.77063000,-75.6924100,424.0
40.77057000,-75.6927200,422.0
40.77044000,-75.6930700,420.0
40.77035000,-75.6935100,416.0
40.77014000,-75.6937800,415.0
40.76991000,-75.6940200,413.0
40.76985000,-75.6941500,411.0
40.76984000,-75.6940700,411.0
40.77005000,-75.6938500,415.0
40.77020000,-75.6936200,415.0
40.77029000,-75.6931700,418.0
40.77044000,-75.6928200,421.0
40.77053000,-75.6925000,423.0
40.77055000,-75.6920800,426.0
40.77063000,-75.6915600,431.0
40.77067000,-75.6911700,436.0
40.77077000,-75.6906600,439.0
40.77107000,-75.6904500,442.0
40.77121000,-75.6901700,445.0
40.77135000,-75.6898500,448.0
40.77157000,-75.6895500,452.0
40.77170000,-75.6894500,454.0
40.77175000,-75.6892100,456.0
40.77183000,-75.6888000,460.0
40.77194000,-75.6882400,466.0
40.77206000,-75.6878300,469.0
40.77222000,-75.6871500,474.0
40.77241000,-75.6864200,480.0
40.77261000,-75.6856900,484.0
40.77267000,-75.6853800,485.0
40.77277000,-75.6851600,486.0
40.77284000,-75.6849300,487.0
40.77287000,-75.6847500,487.0
40.77302000,-75.6841800,486.0
40.77313000,-75.6836800,485.0
40.77325000,-75.6833700,486.0
40.77341000,-75.6827100,484.0
40.77340000,-75.6825500,483.0
40.77344000,-75.6822700,480.0
40.77354000,-75.6819600,477.0
40.77358000,-75.6818600,476.0
40.77366000,-75.6816500,476.0
40.77380000,-75.6811200,473.0
40.77392000,-75.6804600,471.0
40.77410000,-75.6798600,467.0
40.77445000,-75.6783400,471.0
40.77484000,-75.6770800,479.0
40.77489000,-75.6767100,479.0
40.77497000,-75.6766600,480.0
40.77507000,-75.6766100,481.0
40.77524000,-75.6762300,482.0
40.77541000,-75.6758100,485.0
40.77547000,-75.6754600,486.0
40.77554000,-75.6752600,487.0
40.77564000,-75.6751700,488.0
40.77551000,-75.6749900,488.0
40.77527000,-75.6747000,489.0
40.77514000,-75.6743700,490.0
40.77614000,-75.6720600,498.0
40.77632000,-75.6709800,498.0
40.77630000,-75.6694500,501.0
40.77622000,-75.6682100,499.0
40.77686000,-75.6616000,483.0
40.77712000,-75.6604400,482.0
40.77720000,-75.6604500,484.0
40.77739000,-75.6604000,485.0
40.77758000,-75.6603400,486.0
40.77781000,-75.6602700,485.0
40.77807000,-75.6602200,485.0
40.77813000,-75.6592600,481.0
40.77831000,-75.6583600,481.0
40.77850000,-75.6578100,481.0
40.77868000,-75.6563500,481.0
40.77883000,-75.6548500,479.0
40.77919000,-75.6537200,481.0
40.77947000,-75.6530600,480.0
40.77963000,-75.6524100,480.0
40.77981000,-75.6511100,477.0
40.78001000,-75.6508700,474.0
40.78003000,-75.6504600,476.0
40.77995000,-75.6497600,476.0
40.77987000,-75.6493000,474.0
40.77995000,-75.6490300,474.0
40.77996000,-75.6485100,472.0
40.77993000,-75.6481700,467.0
40.77997000,-75.6479100,465.0
40.77994000,-75.6472200,468.0
40.77990000,-75.6464100,461.0
40.77985000,-75.6460300,458.0
40.77982000,-75.6454400,452.0
40.77984000,-75.6451100,450.0
40.77982000,-75.6448900,448.0
40.78000000,-75.6446900,449.0
40.78006000,-75.6446300,449.0
40.78011000,-75.6445600,449.0
40.78020000,-75.6441400,448.0
40.78048000,-75.6424800,451.0
40.78059000,-75.6413400,450.0
40.78063000,-75.6407300,449.0
40.78059000,-75.6404200,448.0
40.78064000,-75.6401000,448.0
40.78064000,-75.6395300,448.0
40.78061000,-75.6393100,447.0
40.78053000,-75.6390300,445.0
40.78049000,-75.6389400,444.0
40.78057000,-75.6387100,445.0
40.78066000,-75.6382700,447.0
40.78075000,-75.6381500,447.0
40.78083000,-75.6379900,447.0
40.78091000,-75.6378300,448.0
40.78096000,-75.6377100,448.0
40.78099000,-75.6372700,449.0
40.78100000,-75.6363500,446.0
40.78101000,-75.6362500,446.0
40.78105000,-75.6359000,446.0
40.78105000,-75.6354700,443.0
40.78107000,-75.6349900,441.0
40.78104000,-75.6345800,437.0
40.78101000,-75.6344200,434.0
40.78098000,-75.6343000,431.0
40.78086000,-75.6339000,423.0
40.78083000,-75.6338600,421.0
40.78076000,-75.6335700,418.0
40.78072000,-75.6334300,416.0
40.78065000,-75.6331700,411.0
40.78058000,-75.6327400,405.0
40.78044000,-75.6323100,398.0
40.78039000,-75.6321700,395.0
40.78036000,-75.6320400,393.0
40.78038000,-75.6315600,389.0
40.78044000,-75.6312400,389.0
40.78046000,-75.6311600,389.0
40.78049000,-75.6308500,387.0
40.78058000,-75.6306100,387.0
40.78063000,-75.6304700,388.0
40.78065000,-75.6303700,388.0
40.78063000,-75.6300900,387.0
40.78061000,-75.6299700,386.0
40.78055000,-75.6297900,385.0
40.78044000,-75.6294800,380.0
40.78039000,-75.6293900,378.0
40.78037000,-75.6292600,376.0
40.78037000,-75.6291600,375.0
40.78040000,-75.6290500,375.0
40.78041000,-75.6289100,374.0
40.78042000,-75.6288300,373.0
40.78052000,-75.6286600,373.0
40.78064000,-75.6284200,372.0
40.78072000,-75.6283100,372.0
40.78082000,-75.6280600,372.0
40.78086000,-75.6279100,372.0
40.78084000,-75.6275900,368.0
40.78086000,-75.6274500,367.0
40.78092000,-75.6272000,365.0
40.78097000,-75.6269700,363.0
40.78105000,-75.6268100,364.0
40.78109000,-75.6267200,364.0
40.78111000,-75.6264400,364.0
40.78112000,-75.6261700,365.0
40.78114000,-75.6258700,363.0
40.78124000,-75.6255100,361.0
40.78133000,-75.6253400,363.0
40.78146000,-75.6250800,365.0
40.78168000,-75.6249000,371.0
40.78178000,-75.6244600,370.0
40.78182000,-75.6240600,365.0
40.78189000,-75.6235200,360.0
40.78192000,-75.6233400,359.0
40.78189000,-75.6232100,355.0
40.78191000,-75.6230800,353.0
40.78188000,-75.6228100,348.0
40.78188000,-75.6225200,345.0
40.78187000,-75.6223800,343.0
40.78190000,-75.6221600,341.0
40.78203000,-75.6217500,340.0
40.78208000,-75.6216300,340.0
40.78211000,-75.6211400,335.0
40.78221000,-75.6206400,333.0
40.78223000,-75.6204600,332.0
40.78220000,-75.6202900,330.0
40.78220000,-75.6200500,328.0
40.78224000,-75.6199300,327.0
40.78226000,-75.6198400,327.0
40.78237000,-75.6197900,329.0
40.78245000,-75.6194900,329.0
40.78247000,-75.6192100,326.0
40.78259000,-75.6187600,321.0
40.78264000,-75.6186300,319.0
40.78264000,-75.6184400,314.0
40.78255000,-75.6182000,306.0
40.78253000,-75.6180800,303.0
40.78252000,-75.6179800,301.0
40.78270000,-75.6173000,300.0
40.78272000,-75.6170600,297.0
40.78271000,-75.6168900,295.0
40.78253000,-75.6165700,283.0
40.78250000,-75.6164500,280.0
40.78245000,-75.6161800,275.0
40.78240000,-75.6160600,272.0
40.78235000,-75.6157800,266.0
40.78228000,-75.6156200,260.0
40.78223000,-75.6154900,257.0
40.78218000,-75.6153700,254.0
40.78214000,-75.6152800,252.0
40.78213000,-75.6150900,249.0
40.78212000,-75.6150000,248.0
40.78200000,-75.6146300,240.0
40.78190000,-75.6145000,237.0
40.78184000,-75.6144100,235.0
40.78174000,-75.6141100,229.0
40.78161000,-75.6136100,221.0
40.78156000,-75.6135300,219.0
40.78143000,-75.6134100,217.0
40.78127000,-75.6131300,211.0
40.78120000,-75.6129700,207.0
40.78107000,-75.6125200,200.0
40.78103000,-75.6123400,198.0
40.78099000,-75.6122900,198.0
40.78091000,-75.6121600,196.0
40.78078000,-75.6113500,183.0
40.78074000,-75.6111200,177.0
40.78076000,-75.6107900,168.0
40.78084000,-75.6104900,161.0
40.78085000,-75.6104100,160.0
40.78091000,-75.6102800,158.0
40.78098000,-75.6101200,155.0
40.78109000,-75.6100200,154.0
40.78123000,-75.6098000,151.0
40.78129000,-75.6097100,150.0
40.78132000,-75.6095800,148.0
40.78130000,-75.6094400,145.0
40.78128000,-75.6093600,144.0
40.78124000,-75.6093200,143.0
40.78119000,-75.6092400,142.0
40.78114000,-75.6091700,141.0
40.78111000,-75.6091100,139.0
40.78110000,-75.6090200,138.0
40.78114000,-75.6089300,136.0
40.78116000,-75.6088400,135.0
40.78115000,-75.6086700,132.0
40.78125000,-75.6084600,128.0
