Latitude,Longitude,Elevation
38.57103000,-78.2875100,262.0
38.57103000,-78.2875200,262.0
38.57111000,-78.2880700,264.0
38.57090000,-78.2881700,264.0
38.57082000,-78.2882200,264.0
38.57074000,-78.2883400,265.0
38.57068000,-78.2885500,266.0
38.57056000,-78.2885800,266.0
38.57043000,-78.2886900,269.0
38.57045000,-78.2888300,269.0
38.57047000,-78.2889900,270.0
38.57042000,-78.2890700,272.0
38.57040000,-78.2892100,274.0
38.57039000,-78.2894300,277.0
38.57031000,-78.2896500,282.0
38.57028000,-78.2899300,287.0
38.57032000,-78.2902200,291.0
38.57037000,-78.2904800,294.0
38.57045000,-78.2906700,295.0
38.57050000,-78.2909000,296.0
38.57051000,-78.2909800,296.0
38.57060000,-78.2912500,295.0
38.57070000,-78.2916400,293.0
38.57070000,-78.2918700,293.0
38.57065000,-78.2921800,293.0
38.57068000,-78.2925000,291.0
38.57081000,-78.2930500,289.0
38.57088000,-78.2932900,289.0
38.57094000,-78.2934100,289.0
38.57079000,-78.2936400,290.0
38.57072000,-78.2936800,292.0
38.57068000,-78.2937200,292.0
38.57064000,-78.2937500,293.0
38.57050000,-78.2936800,295.0
38.57041000,-78.2935800,296.0
38.57028000,-78.2936500,298.0
38.57015000,-78.2936600,302.0
38.57006000,-78.2937300,304.0
38.57005000,-78.2937400,304.0
38.56993000,-78.2938000,307.0
38.56981000,-78.2939300,308.0
38.56973000,-78.2940500,309.0
38.56966000,-78.2941900,308.0
38.56954000,-78.2942500,310.0
38.56936000,-78.2941800,312.0
38.56919000,-78.2940800,315.0
38.56910000,-78.2940600,317.0
38.56893000,-78.2940900,322.0
38.56885000,-78.2940500,324.0
38.56884000,-78.2939000,324.0
38.56872000,-78.2939100,327.0
38.56866000,-78.2940000,330.0
38.56857000,-78.2940400,332.0
38.56849000,-78.2941400,334.0
38.56838000,-78.2942500,336.0
38.56829000,-78.2943600,337.0
38.56819000,-78.2943400,338.0
38.56810000,-78.2942800,338.0
38.56801000,-78.2942800,339.0
38.56791000,-78.2943300,342.0
38.56781000,-78.2943300,344.0
38.56774000,-78.2943900,346.0
38.56762000,-78.2943800,349.0
38.56754000,-78.2943700,351.0
38.56743000,-78.2944300,353.0
38.56735000,-78.2944100,354.0
38.56725000,-78.2943500,356.0
38.56714000,-78.2942900,357.0
38.56702000,-78.2943400,360.0
38.56690000,-78.2943800,362.0
38.56679000,-78.2943900,364.0
38.56668000,-78.2944800,367.0
38.56659000,-78.2946000,370.0
38.56653000,-78.2947300,374.0
38.56647000,-78.2948300,376.0
38.56640000,-78.2947900,379.0
38.56632000,-78.2947400,380.0
38.56623000,-78.2946900,380.0
38.56613000,-78.2947400,382.0
38.56612000,-78.2948900,385.0
38.56607000,-78.2949700,388.0
38.56597000,-78.2948900,389.0
38.56590000,-78.2949900,393.0
38.56587000,-78.2951300,396.0
38.56585000,-78.2953500,399.0
38.56586000,-78.2954800,399.0
38.56592000,-78.2956500,398.0
38.56598000,-78.2958100,396.0
38.56606000,-78.2959900,394.0
38.56619000,-78.2961900,390.0
38.56616000,-78.2963000,392.0
38.56613000,-78.2964100,395.0
38.56607000,-78.2964900,398.0
38.56603000,-78.2966100,400.0
38.56602000,-78.2967400,400.0
38.56597000,-78.2968600,400.0
38.56596000,-78.2969700,400.0
38.56589000,-78.2970600,402.0
38.56583000,-78.2971500,404.0
38.56573000,-78.2972200,407.0
38.56566000,-78.2973000,410.0
38.56561000,-78.2973900,413.0
38.56557000,-78.2974900,415.0
38.56556000,-78.2975900,417.0
38.56558000,-78.2977200,419.0
38.56571000,-78.2979000,417.0
38.56571000,-78.2980200,420.0
38.56583000,-78.2981100,417.0
38.56589000,-78.2981500,415.0
38.56591000,-78.2982600,417.0
38.56598000,-78.2983400,416.0
38.56601000,-78.2984700,415.0
38.56607000,-78.2986200,414.0
38.56610000,-78.2987600,412.0
38.56612000,-78.2988900,411.0
38.56613000,-78.2990100,410.0
38.56613000,-78.2990900,409.0
38.56611000,-78.2992000,409.0
38.56609000,-78.2993200,409.0
38.56601000,-78.2994600,411.0
38.56594000,-78.2995300,413.0
38.56586000,-78.2995800,415.0
38.56577000,-78.2996400,416.0
38.56569000,-78.2997200,416.0
