"","areas"
"1","Division No. 21"
"2","Division No. 22"
"3","Division No. 23"
"4","Division No.  1"
"5","Division No.  2"
"6","Division No.  3"
"7","Division No.  4"
"8","Division No.  5"
"9","Division No.  6"
"10","Division No.  7"
"11","Division No.  8"
"12","Division No.  9"
"13","Division No. 10"
"14","Division No. 11"
"15","Division No. 12"
"16","Division No. 13"
"17","Division No. 14"
"18","Division No. 15"
"19","Division No. 16"
"20","Division No. 17"
"21","Division No. 18"
"22","Division No.  1"
"23","Division No.  2"
"24","Division No.  3"
"25","Division No.  4"
"26","Division No.  5"
"27","Division No.  6"
"28","Division No.  7"
"29","Division No.  8"
"30","Division No.  9"
"31","Division No. 10"
"32","Division No. 11"
"33","Division No. 12"
"34","Division No. 13"
"35","Division No. 14"
"36","Division No. 15"
"37","Division No. 16"
"38","Division No. 17"
"39","Division No. 18"
"40","Division No. 19"
"41","East Kootenay"
"42","Central Kootenay"
"43","Kootenay Boundary"
"44","Okanagan-Similkameen"
"45","Fraser Valley"
"46","Greater Vancouver"
"47","Capital"
"48","Cowichan Valley"
"49","Nanaimo"
"50","Alberni-Clayoquot"
"51","Strathcona"
"52","Comox Valley"
"53","Powell River"
"54","Sunshine Coast"
"55","Squamish-Lillooet"
"56","Thompson-Nicola"
"57","La Haute-Yamaska"
"58","North Okanagan"
"59","Acton"
"60","Drummond"
"61","Nicolet-Yamaska"
"62","Maskinongé"
"63","D'Autray"
"64","Pierre-De Saurel"
"65","Les Maskoutains"
"66","Rouville"
"67","Le Haut-Richelieu"
"68","La Vallée-du-Richelieu"
"69","Longueuil"
"70","Marguerite-D'Youville"
"71","L'Assomption"
"72","Joliette"
"73","Matawinie"
"74","Montcalm"
"75","Les Moulins"
"76","Laval"
"77","Montréal"
"78","Roussillon"
"79","Les Jardins-de-Napierville"
"80","Le Haut-Saint-Laurent"
"81","Beauharnois-Salaberry"
"82","Vaudreuil-Soulanges"
"83","Deux-Montagnes"
"84","Thérèse-De Blainville"
"85","Mirabel"
"86","La Rivière-du-Nord"
"87","Argenteuil"
"88","Les Pays-d'en-Haut"
"89","Les Laurentides"
"90","Antoine-Labelle"
"91","Papineau"
"92","Gatineau"
"93","Les Collines-de-l'Outaouais"
"94","La Vallée-de-la-Gatineau"
"95","Pontiac"
"96","Témiscamingue"
"97","Rouyn-Noranda"
"98","Abitibi-Ouest"
"99","Abitibi"
"100","La Vallée-de-l'Or"
"101","La Tuque"
"102","Le Domaine-du-Roy"
"103","Maria-Chapdelaine"
"104","Lac-Saint-Jean-Est"
"105","Le Saguenay-et-son-Fjord"
"106","La Haute-Côte-Nord"
"107","Manicouagan"
"108","Sept-Rivières--Caniapiscau"
"109","Minganie--Le Golfe-du-Saint-Laurent"
"110","Nord-du-Québec"
"111","Stormont, Dundas and Glengarry"
"112","Prescott and Russell"
"113","Ottawa"
"114","Leeds and Grenville"
"115","Lanark"
"116","Frontenac"
"117","Lennox and Addington"
"118","Hastings"
"119","Central Okanagan"
"120","Division No.  1"
"121","Division No.  2"
"122","Division No.  3"
"123","Division No.  4"
"124","Division No.  5"
"125","Division No.  6"
"126","Division No.  7"
"127","Division No.  8"
"128","Division No.  9"
"129","Division No. 10"
"130","Division No. 11"
"131","Kings"
"132","Queens"
"133","Prince"
"134","Shelburne"
"135","Yarmouth"
"136","Digby"
"137","Queens"
"138","Annapolis"
"139","Lunenburg"
"140","Kings"
"141","Hants"
"142","Halifax"
"143","Colchester"
"144","Cumberland"
"145","Pictou"
"146","Guysborough"
"147","Antigonish"
"148","Inverness"
"149","Richmond"
"150","Cape Breton"
"151","Victoria"
"152","Saint John"
"153","Charlotte"
"154","Sunbury"
"155","Queens"
"156","Kings"
"157","Albert"
"158","Westmorland"
"159","Kent"
"160","Northumberland"
"161","York"
"162","Carleton"
"163","Victoria"
"164","Madawaska"
"165","Restigouche"
"166","Gloucester"
"167","Les Îles-de-la-Madeleine"
"168","Le Rocher-Percé"
"169","La Côte-de-Gaspé"
"170","La Haute-Gaspésie"
"171","Bonaventure"
"172","Avignon"
"173","La Matapédia"
"174","Matane"
"175","La Mitis"
"176","Rimouski-Neigette"
"177","Les Basques"
"178","Rivière-du-Loup"
"179","Témiscouata"
"180","Kamouraska"
"181","Charlevoix-Est"
"182","Charlevoix"
"183","L'Islet"
"184","Montmagny"
"185","Bellechasse"
"186","L'Île-d'Orléans"
"187","La Côte-de-Beaupré"
"188","La Jacques-Cartier"
"189","Québec"
"190","Lévis"
"191","La Nouvelle-Beauce"
"192","Robert-Cliche"
"193","Les Etchemins"
"194","Beauce-Sartigan"
"195","Le Granit"
"196","Les Appalaches"
"197","L'Érable"
"198","Lotbinière"
"199","Portneuf"
"200","Mékinac"
"201","Shawinigan"
"202","Francheville"
"203","Bécancour"
"204","Arthabaska"
"205","Les Sources"
"206","Le Haut-Saint-François"
"207","Le Val-Saint-François"
"208","Sherbrooke"
"209","Coaticook"
"210","Memphrémagog"
"211","Brome-Missisquoi"
"212","Prince Edward"
"213","Northumberland"
"214","Peterborough"
"215","Kawartha Lakes"
"216","Durham"
"217","York"
"218","Toronto"
"219","Peel"
"220","Dufferin"
"221","Wellington"
"222","Halton"
"223","Hamilton"
"224","Niagara"
"225","Haldimand-Norfolk"
"226","Brant"
"227","Waterloo"
"228","Perth"
"229","Oxford"
"230","Elgin"
"231","Chatham-Kent"
"232","Essex"
"233","Lambton"
"234","Middlesex"
"235","Huron"
"236","Bruce"
"237","Grey"
"238","Simcoe"
"239","Muskoka"
"240","Haliburton"
"241","Renfrew"
"242","Nipissing"
"243","Parry Sound"
"244","Manitoulin"
"245","Sudbury"
"246","Greater Sudbury / Grand Sudbury"
"247","Timiskaming"
"248","Cochrane"
"249","Algoma"
"250","Thunder Bay"
"251","Rainy River"
"252","Kenora"
"253","Division No.  1"
"254","Division No.  2"
"255","Division No.  3"
"256","Division No.  4"
"257","Division No.  5"
"258","Division No.  6"
"259","Division No.  7"
"260","Division No.  8"
"261","Division No.  9"
"262","Division No. 10"
"263","Division No. 11"
"264","Division No. 12"
"265","Division No. 13"
"266","Division No. 14"
"267","Division No. 15"
"268","Division No. 16"
"269","Division No. 17"
"270","Division No. 18"
"271","Division No. 19"
"272","Division No. 20"
"273","Columbia-Shuswap"
"274","Cariboo"
"275","Mount Waddington"
"276","Central Coast"
"277","Skeena-Queen Charlotte"
"278","Kitimat-Stikine"
"279","Bulkley-Nechako"
"280","Fraser-Fort George"
"281","Peace River"
"282","Stikine"
"283","Northern Rockies"
"284","Yukon"
"285","Region 1"
"286","Region 2"
"287","Region 3"
"288","Region 4"
"289","Region 5"
"290","Region 6"
"291","Baffin"
"292","Keewatin"
"293","Kitikmeot"
