Geographic code,"Geographic name, english","Geographic name, french","Geographic type, english","Geographic type, french","Province / territory, english","Province / territory, french","Geographic code, Province / territory","Population, 2016","Incompletely enumerated Indian reserves and Indian settlements, 2016","Population, 2011",2011 adjusted population flag,"Incompletely enumerated Indian reserves and Indian settlements, 2011","Population, % change","Total private dwellings, 2016","Total private dwellings, 2011",2011 adjusted total private dwellings flag,"Total private dwellings, % change","Private dwellings occupied by usual residents, 2016","Private dwellings occupied by usual residents, 2011",2011 adjusted private dwellings occupied by usual residents flag,"Private dwellings occupied by usual residents, % change","Land area in square kilometres, 2016","Population density per square kilometre, 2016","National population rank, 2016","Provincial/territorial population rank, 2016"
1001,Division No.  1,Division No.  1,Census division,Division de recensement,Newfoundland and Labrador,Terre-Neuve-et-Labrador,10,270348,F,262410,F,F,3,131336,120500,F,9,112620,105921,F,6.3,9220.61,29.3,26,1
1002,Division No.  2,Division No.  2,Census division,Division de recensement,Newfoundland and Labrador,Terre-Neuve-et-Labrador,10,20372,F,21351,F,F,-4.6,11497,11648,F,-1.3,8737,8796,F,-0.7,6099.08,3.3,219,8
1003,Division No.  3,Division No.  3,Census division,Division de recensement,Newfoundland and Labrador,Terre-Neuve-et-Labrador,10,15560,F,16306,F,F,-4.6,8289,8346,F,-0.7,6773,6718,F,0.8,19912.67,0.8,249,10
1004,Division No.  4,Division No.  4,Census division,Division de recensement,Newfoundland and Labrador,Terre-Neuve-et-Labrador,10,20387,F,20840,F,F,-2.2,11338,11232,F,0.9,9345,9052,F,3.2,7087.65,2.9,218,7
1005,Division No.  5,Division No.  5,Census division,Division de recensement,Newfoundland and Labrador,Terre-Neuve-et-Labrador,10,42014,F,41004,F,F,2.5,20924,19287,F,8.5,17890,16676,F,7.3,10366.48,4.1,145,2
1006,Division No.  6,Division No.  6,Census division,Division de recensement,Newfoundland and Labrador,Terre-Neuve-et-Labrador,10,38345,F,37304,F,F,2.8,19296,18537,F,4.1,16434,15451,F,6.4,16238.16,2.4,151,3
1007,Division No.  7,Division No.  7,Census division,Division de recensement,Newfoundland and Labrador,Terre-Neuve-et-Labrador,10,34092,F,34686,F,F,-1.7,20097,19843,F,1.3,14571,14292,F,2,9672.91,3.5,165,5
1008,Division No.  8,Division No.  8,Census division,Division de recensement,Newfoundland and Labrador,Terre-Neuve-et-Labrador,10,35794,F,37121,F,F,-3.6,21913,20739,F,5.7,15587,15418,F,1.1,9314.57,3.8,162,4
1009,Division No.  9,Division No.  9,Census division,Division de recensement,Newfoundland and Labrador,Terre-Neuve-et-Labrador,10,15607,F,16786,F,F,-7,9346,9120,F,2.5,6689,6834,F,-2.1,13527.12,1.2,247,9
1010,Division No. 10,Division No. 10,Census division,Division de recensement,Newfoundland and Labrador,Terre-Neuve-et-Labrador,10,24639,F,24111,F,F,2.2,10758,10128,F,6.2,9193,8877,F,3.6,199703.36,0.1,192,6
1011,Division No. 11,Division No. 11,Census division,Division de recensement,Newfoundland and Labrador,Terre-Neuve-et-Labrador,10,2558,F,2617,F,F,-2.3,945,895,F,5.6,834,807,F,3.3,69371.46,0,291,11
1101,Kings,Kings,County,County,Prince Edward Island,Île-du-Prince-Édouard,11,17160,F,17990,F,F,-4.6,10026,9607,F,4.4,7222,7173,F,0.7,1686.34,10.2,241,3
1102,Queens,Queens,County,County,Prince Edward Island,Île-du-Prince-Édouard,11,82017,F,77866,F,F,5.3,39399,36213,F,8.8,33975,31413,F,8.2,2020.48,40.6,80,1
1103,Prince,Prince,County,County,Prince Edward Island,Île-du-Prince-Édouard,11,43730,F,44348,F,F,-1.4,21694,21123,F,2.7,18275,17876,F,2.2,1979.21,22.1,134,2
1201,Shelburne,Shelburne,County,County,Nova Scotia,Nouvelle-Écosse,12,13966,F,14496,F,F,-3.7,7765,7907,F,-1.8,6378,6374,F,0.1,2467.39,5.7,257,14
1202,Yarmouth,Yarmouth,County,County,Nova Scotia,Nouvelle-Écosse,12,24419,F,25275,F,F,-3.4,12342,12317,F,0.2,10798,10788,F,0.1,2125.7,11.5,194,9
