year,state
2021,Wisconsin
2020,California
2019,Ontario
2018,California
2017,California
2016,Ohio
2015,California
2014,Texas
2013,Florida
2012,Florida
2011,Texas
2010,California
2009,California
2008,Massachusetts
2007,Texas
2006,Florida
2005,Texas
2004,Michigan
2003,Texas
2002,California
2001,California
2000,California
1999,Texas
1998,Illinois
1997,Illinois
1996,Illinois
1995,Texas
1994,Texas
1993,Illinois
1992,Illinois
1991,Illinois
1990,Michigan
1989,Michigan
1988,California
1987,California
1986,Massachusetts
1985,California
1984,Massachusetts
1983,Pennsylvania
1982,California
1981,Massachusetts
1980,California
1979,Washington
1978,District of Columbia
1977,Oregon
1976,Massachusetts
1975,California
1974,Massachusetts
1973,New York
1972,California
1971,Wisconsin
1970,New York
1969,Massachusetts
1968,Massachusetts
1967,Pennsylvania
1966,Massachusetts
1965,Massachusetts
1964,Massachusetts
1963,Massachusetts
1962,Massachusetts
1961,Massachusetts
1960,Massachusetts
1959,Massachusetts
1958,Missouri
1957,Massachusetts
1956,Pennsylvania
1955,New York
1954,Minnesota
1953,Minnesota
1952,Minnesota
1951,New York
1950,Minnesota
